bus,tech,timestamp,p_max_pu
DE0,onwind,2021-01-25 00:00:00,0.42
DE0,offwind,2021-01-25 00:00:00,0.462
DE0,solar,2021-01-25 00:00:00,0.0
DE0,ocgt,2021-01-25 00:00:00,1.0
DE0,ccgt,2021-01-25 00:00:00,1.0
DE1,onwind,2021-01-25 00:00:00,0.42
DE1,offwind,2021-01-25 00:00:00,0.462
DE1,solar,2021-01-25 00:00:00,0.0
DE1,ocgt,2021-01-25 00:00:00,1.0
DE1,ccgt,2021-01-25 00:00:00,1.0
DE2,onwind,2021-01-25 00:00:00,0.42
DE2,offwind,2021-01-25 00:00:00,0.462
DE2,solar,2021-01-25 00:00:00,0.0
DE2,ocgt,2021-01-25 00:00:00,1.0
DE2,ccgt,2021-01-25 00:00:00,1.0
DE3,onwind,2021-01-25 00:00:00,0.2975
DE3,offwind,2021-01-25 00:00:00,0.3272
DE3,solar,2021-01-25 00:00:00,0.0
DE3,ocgt,2021-01-25 00:00:00,1.0
DE3,ccgt,2021-01-25 00:00:00,1.0
DE4,onwind,2021-01-25 00:00:00,0.2975
DE4,offwind,2021-01-25 00:00:00,0.3272
DE4,solar,2021-01-25 00:00:00,0.0
DE4,ocgt,2021-01-25 00:00:00,1.0
DE4,ccgt,2021-01-25 00:00:00,1.0
DE5,onwind,2021-01-25 00:00:00,0.2975
DE5,offwind,2021-01-25 00:00:00,0.3272
DE5,solar,2021-01-25 00:00:00,0.0
DE5,ocgt,2021-01-25 00:00:00,1.0
DE5,ccgt,2021-01-25 00:00:00,1.0
DE6,onwind,2021-01-25 00:00:00,0.2975
DE6,offwind,2021-01-25 00:00:00,0.3272
DE6,solar,2021-01-25 00:00:00,0.0
DE6,ocgt,2021-01-25 00:00:00,1.0
DE6,ccgt,2021-01-25 00:00:00,1.0
DE7,onwind,2021-01-25 00:00:00,0.2975
DE7,offwind,2021-01-25 00:00:00,0.3272
DE7,solar,2021-01-25 00:00:00,0.0
DE7,ocgt,2021-01-25 00:00:00,1.0
DE7,ccgt,2021-01-25 00:00:00,1.0
DE8,onwind,2021-01-25 00:00:00,0.2975
DE8,offwind,2021-01-25 00:00:00,0.3272
DE8,solar,2021-01-25 00:00:00,0.0
DE8,ocgt,2021-01-25 00:00:00,1.0
DE8,ccgt,2021-01-25 00:00:00,1.0
DE9,onwind,2021-01-25 00:00:00,0.2975
DE9,offwind,2021-01-25 00:00:00,0.3272
DE9,solar,2021-01-25 00:00:00,0.0
DE9,ocgt,2021-01-25 00:00:00,1.0
DE9,ccgt,2021-01-25 00:00:00,1.0
DE0,onwind,2021-01-25 03:00:00,0.4574
DE0,offwind,2021-01-25 03:00:00,0.5031
DE0,solar,2021-01-25 03:00:00,0.0
DE0,ocgt,2021-01-25 03:00:00,1.0
DE0,ccgt,2021-01-25 03:00:00,1.0
DE1,onwind,2021-01-25 03:00:00,0.4574
DE1,offwind,2021-01-25 03:00:00,0.5031
DE1,solar,2021-01-25 03:00:00,0.0
DE1,ocgt,2021-01-25 03:00:00,1.0
DE1,ccgt,2021-01-25 03:00:00,1.0
DE2,onwind,2021-01-25 03:00:00,0.4574
DE2,offwind,2021-01-25 03:00:00,0.5031
DE2,solar,2021-01-25 03:00:00,0.0
DE2,ocgt,2021-01-25 03:00:00,1.0
DE2,ccgt,2021-01-25 03:00:00,1.0
DE3,onwind,2021-01-25 03:00:00,0.324
DE3,offwind,2021-01-25 03:00:00,0.3564
DE3,solar,2021-01-25 03:00:00,0.0
DE3,ocgt,2021-01-25 03:00:00,1.0
DE3,ccgt,2021-01-25 03:00:00,1.0
DE4,onwind,2021-01-25 03:00:00,0.324
DE4,offwind,2021-01-25 03:00:00,0.3564
DE4,solar,2021-01-25 03:00:00,0.0
DE4,ocgt,2021-01-25 03:00:00,1.0
DE4,ccgt,2021-01-25 03:00:00,1.0
DE5,onwind,2021-01-25 03:00:00,0.324
DE5,offwind,2021-01-25 03:00:00,0.3564
DE5,solar,2021-01-25 03:00:00,0.0
DE5,ocgt,2021-01-25 03:00:00,1.0
DE5,ccgt,2021-01-25 03:00:00,1.0
DE6,onwind,2021-01-25 03:00:00,0.324
DE6,offwind,2021-01-25 03:00:00,0.3564
DE6,solar,2021-01-25 03:00:00,0.0
DE6,ocgt,2021-01-25 03:00:00,1.0
DE6,ccgt,2021-01-25 03:00:00,1.0
DE7,onwind,2021-01-25 03:00:00,0.324
DE7,offwind,2021-01-25 03:00:00,0.3564
DE7,solar,2021-01-25 03:00:00,0.0
DE7,ocgt,2021-01-25 03:00:00,1.0
