bus,tech,p_nom_MW
DE0,onwind,5200.0
DE0,offwind,1280.0
DE0,solar,4400.0
DE0,ocgt,740.0
DE0,ccgt,1640.0
DE1,onwind,7150.0
DE1,offwind,1760.0
DE1,solar,6050.0
DE1,ocgt,830.0
DE1,ccgt,1880.0
DE2,onwind,9100.0
DE2,offwind,2240.0
DE2,solar,7700.0
DE2,ocgt,920.0
DE2,ccgt,2120.0
DE3,onwind,5850.0
DE3,offwind,360.0
DE3,solar,4950.0
DE3,ocgt,770.0
DE3,ccgt,1720.0
DE4,onwind,8450.0
DE4,offwind,520.0
DE4,solar,7150.0
DE4,ocgt,890.0
DE4,ccgt,2040.0
DE5,onwind,7800.0
DE5,offwind,480.0
DE5,solar,6600.0
DE5,ocgt,860.0
DE5,ccgt,1960.0
DE6,onwind,5200.0
DE6,offwind,320.0
DE6,solar,4400.0
DE6,ocgt,740.0
DE6,ccgt,1640.0
DE7,onwind,6500.0
DE7,offwind,400.0
DE7,solar,5500.0
DE7,ocgt,800.0
DE7,ccgt,1800.0
DE8,onwind,5850.0
DE8,offwind,360.0
DE8,solar,4950.0
DE8,ocgt,770.0
DE8,ccgt,1720.0
DE9,onwind,3900.0
DE9,offwind,240.0
DE9,solar,3300.0
DE9,ocgt,680.0
DE9,ccgt,1480.0
