bus,timestamp,demand_MW
DE0,2021-01-25 00:00:00,4271.36
DE1,2021-01-25 00:00:00,5873.11
DE2,2021-01-25 00:00:00,7474.87
DE3,2021-01-25 00:00:00,4805.28
DE4,2021-01-25 00:00:00,6940.95
DE5,2021-01-25 00:00:00,6407.03
DE6,2021-01-25 00:00:00,4271.36
DE7,2021-01-25 00:00:00,5339.19
DE8,2021-01-25 00:00:00,4805.28
DE9,2021-01-25 00:00:00,3203.52
DE0,2021-01-25 03:00:00,4468.47
DE1,2021-01-25 03:00:00,6144.14
DE2,2021-01-25 03:00:00,7819.82
DE3,2021-01-25 03:00:00,5027.03
DE4,2021-01-25 03:00:00,7261.26
DE5,2021-01-25 03:00:00,6702.7
DE6,2021-01-25 03:00:00,4468.47
DE7,2021-01-25 03:00:00,5585.58
DE8,2021-01-25 03:00:00,5027.03
DE9,2021-01-25 03:00:00,3351.35
DE0,2021-01-25 06:00:00,4890.48
DE1,2021-01-25 06:00:00,6724.41
DE2,2021-01-25 06:00:00,8558.34
DE3,2021-01-25 06:00:00,5501.79
DE4,2021-01-25 06:00:00,7947.03
DE5,2021-01-25 06:00:00,7335.72
DE6,2021-01-25 06:00:00,4890.48
DE7,2021-01-25 06:00:00,6113.1
DE8,2021-01-25 06:00:00,5501.79
DE9,2021-01-25 06:00:00,3667.86
DE0,2021-01-25 09:00:00,5290.18
DE1,2021-01-25 09:00:00,7274.0
DE2,2021-01-25 09:00:00,9257.82
DE3,2021-01-25 09:00:00,5951.46
DE4,2021-01-25 09:00:00,8596.55
DE5,2021-01-25 09:00:00,7935.28
DE6,2021-01-25 09:00:00,5290.18
DE7,2021-01-25 09:00:00,6612.73
DE8,2021-01-25 09:00:00,5951.46
DE9,2021-01-25 09:00:00,3967.64
DE0,2021-01-25 12:00:00,5433.44
DE1,2021-01-25 12:00:00,7470.98
DE2,2021-01-25 12:00:00,9508.52
DE3,2021-01-25 12:00:00,6112.62
DE4,2021-01-25 12:00:00,8829.34
DE5,2021-01-25 12:00:00,8150.16
DE6,2021-01-25 12:00:00,5433.44
DE7,2021-01-25 12:00:00,6791.8
DE8,2021-01-25 12:00:00,6112.62
DE9,2021-01-25 12:00:00,4075.08
DE0,2021-01-25 15:00:00,5236.33
DE1,2021-01-25 15:00:00,7199.95
DE2,2021-01-25 15:00:00,9163.57
DE3,2021-01-25 15:00:00,5890.87
DE4,2021-01-25 15:00:00,8509.03
DE5,2021-01-25 15:00:00,7854.49
DE6,2021-01-25 15:00:00,5236.33
DE7,2021-01-25 15:00:00,6545.41
DE8,2021-01-25 15:00:00,5890.87
DE9,2021-01-25 15:00:00,3927.24
DE0,2021-01-25 18:00:00,4814.31
DE1,2021-01-25 18:00:00,6619.68
DE2,2021-01-25 18:00:00,8425.05
DE3,2021-01-25 18:00:00,5416.1
DE4,2021-01-25 18:00:00,7823.26
DE5,2021-01-25 18:00:00,7221.47
DE6,2021-01-25 18:00:00,4814.31
DE7,2021-01-25 18:00:00,6017.89
DE8,2021-01-25 18:00:00,5416.1
DE9,2021-01-25 18:00:00,3610.74
DE0,2021-01-25 21:00:00,4414.61
DE1,2021-01-25 21:00:00,6070.09
DE2,2021-01-25 21:00:00,7725.57
DE3,2021-01-25 21:00:00,4966.44
DE4,2021-01-25 21:00:00,7173.74
DE5,2021-01-25 21:00:00,6621.91
DE6,2021-01-25 21:00:00,4414.61
DE7,2021-01-25 21:00:00,5518.26
DE8,2021-01-25 21:00:00,4966.44
DE9,2021-01-25 21:00:00,3310.96
DE0,2021-01-26 00:00:00,4153.34
DE1,2021-01-26 00:00:00,5710.85
DE2,2021-01-26 00:00:00,7268.35
DE3,2021-01-26 00:00:00,4672.51
DE4,2021-01-26 00:00:00,6749.18
DE5,2021-01-26 00:00:00,6230.01
DE6,2021-01-26 00:00:00,4153.34
DE7,2021-01-26 00:00:00,5191.68
DE8,2021-01-26 00:00:00,4672.51
DE9,2021-01-26 00:00:00,3115.01
DE0,2021-01-26 03:00:00,4346.02
DE1,2021-01-26 03:00:00,5975.78
DE2,2021-01-26 03:00:00,7605.54
DE3,2021-01-26 03:00:00,4889.27
DE4,2021-01-26 03:00:00,7062.28
DE5,2021-01-26 03:00:00,6519.03
DE6,2021-01-26 03:00:00,4346.02
DE7,2021-01-26 03:00:00,5432.53
DE8,2021-01-26 03:00:00,4889.27
DE9,2021-01-26 03:00:00,3259.52
DE0,2021-01-26 06:00:00,4756.73
DE1,2021-01-26 06:00:00,6540.5
DE2,2021-01-26 06:00:00,8324.27
DE3,2021-01-26 06:00:00,5351.32
DE4,2021-01-26 06:00:00,7729.68
DE5,2021-01-26 06:00:00,7135.09
DE6,2021-01-26 06:00:00,4756.73
DE7,2021-01-26 06:00:00,5945.91
DE8,2021-01-26 06:00:00,5351.32
DE9,2021-01-26 06:00:00,3567.55
DE0,2021-01-26 09:00:00,5144.88
DE1,2021-01-26 09:00:00,7074.2
DE2,2021-01-26 09:00:00,9003.53
DE3,2021-01-26 09:00:00,5787.98
DE4,2021-01-26 09:00:00,8360.42
DE5,2021-01-26 09:00:00,7717.31
DE6,2021-01-26 09:00:00,5144.88
DE7,2021-01-26 09:00:00,6431.09
DE8,2021-01-26 09:00:00,5787.98
DE9,2021-01-26 09:00:00,3858.66
DE0,2021-01-26 12:00:00,5283.09
DE1,2021-01-26 12:00:00,7264.25
DE2,2021-01-26 12:00:00,9245.41
DE3,2021-01-26 12:00:00,5943.48
DE4,2021-01-26 12:00:00,8585.03
DE5,2021-01-26 12:00:00,7924.64
DE6,2021-01-26 12:00:00,5283.09
DE7,2021-01-26 12:00:00,6603.87
DE8,2021-01-26 12:00:00,5943.48
DE9,2021-01-26 12:00:00,3962.32
DE0,2021-01-26 15:00:00,5090.41
DE1,2021-01-26 15:00:00,6999.32
DE2,2021-01-26 15:00:00,8908.23
DE3,2021-01-26 15:00:00,5726.72
DE4,2021-01-26 15:00:00,8271.92
DE5,2021-01-26 15:00:00,7635.62
DE6,2021-01-26 15:00:00,5090.41
DE7,2021-01-26 15:00:00,6363.02
DE8,2021-01-26 15:00:00,5726.72
DE9,2021-01-26 15:00:00,3817.81
DE0,2021-01-26 18:00:00,4679.71
DE1,2021-01-26 18:00:00,6434.6
DE2,2021-01-26 18:00:00,8189.49
DE3,2021-01-26 18:00:00,5264.67
DE4,2021-01-26 18:00:00,7604.53
DE5,2021-01-26 18:00:00,7019.56
DE6,2021-01-26 18:00:00,4679.71
DE7,2021-01-26 18:00:00,5849.64
DE8,2021-01-26 18:00:00,5264.67
DE9,2021-01-26 18:00:00,3509.78
DE0,2021-01-26 21:00:00,4291.56
DE1,2021-01-26 21:00:00,5900.9
DE2,2021-01-26 21:00:00,7510.23
DE3,2021-01-26 21:00:00,4828.01
DE4,2021-01-26 21:00:00,6973.79
DE5,2021-01-26 21:00:00,6437.34
DE6,2021-01-26 21:00:00,4291.56
DE7,2021-01-26 21:00:00,5364.45
DE8,2021-01-26 21:00:00,4828.01
DE9,2021-01-26 21:00:00,3218.67
DE0,2021-01-27 00:00:00,4195.6
DE1,2021-01-27 00:00:00,5768.95
DE2,2021-01-27 00:00:00,7342.3
DE3,2021-01-27 00:00:00,4720.05
DE4,2021-01-27 00:00:00,6817.85
DE5,2021-01-27 00:00:00,6293.4
DE6,2021-01-27 00:00:00,4195.6
DE7,2021-01-27 00:00:00,5244.5
DE8,2021-01-27 00:00:00,4720.05
DE9,2021-01-27 00:00:00,3146.7
DE0,2021-01-27 03:00:00,4391.26
DE1,2021-01-27 03:00:00,6037.98
DE2,2021-01-27 03:00:00,7684.71
DE3,2021-01-27 03:00:00,4940.17
DE4,2021-01-27 03:00:00,7135.8
DE5,2021-01-27 03:00:00,6586.89
DE6,2021-01-27 03:00:00,4391.26
DE7,2021-01-27 03:00:00,5489.08
DE8,2021-01-27 03:00:00,4940.17
DE9,2021-01-27 03:00:00,3293.45
DE0,2021-01-27 06:00:00,4806.5
DE1,2021-01-27 06:00:00,6608.94
DE2,2021-01-27 06:00:00,8411.37
DE3,2021-01-27 06:00:00,5407.31
DE4,2021-01-27 06:00:00,7810.56
DE5,2021-01-27 06:00:00,7209.75
DE6,2021-01-27 06:00:00,4806.5
DE7,2021-01-27 06:00:00,6008.12
DE8,2021-01-27 06:00:00,5407.31
DE9,2021-01-27 06:00:00,3604.87
DE0,2021-01-27 09:00:00,5198.08
DE1,2021-01-27 09:00:00,7147.35
DE2,2021-01-27 09:00:00,9096.63
DE3,2021-01-27 09:00:00,5847.84
DE4,2021-01-27 09:00:00,8446.87
DE5,2021-01-27 09:00:00,7797.11
DE6,2021-01-27 09:00:00,5198.08
DE7,2021-01-27 09:00:00,6497.6
DE8,2021-01-27 09:00:00,5847.84
DE9,2021-01-27 09:00:00,3898.56
DE0,2021-01-27 12:00:00,5336.61
DE1,2021-01-27 12:00:00,7337.84
DE2,2021-01-27 12:00:00,9339.07
DE3,2021-01-27 12:00:00,6003.69
DE4,2021-01-27 12:00:00,8671.99
DE5,2021-01-27 12:00:00,8004.92
DE6,2021-01-27 12:00:00,5336.61
DE7,2021-01-27 12:00:00,6670.76
DE8,2021-01-27 12:00:00,6003.69
DE9,2021-01-27 12:00:00,4002.46
DE0,2021-01-27 15:00:00,5140.95
DE1,2021-01-27 15:00:00,7068.81
DE2,2021-01-27 15:00:00,8996.66
DE3,2021-01-27 15:00:00,5783.57
DE4,2021-01-27 15:00:00,8354.04
DE5,2021-01-27 15:00:00,7711.43
DE6,2021-01-27 15:00:00,5140.95
DE7,2021-01-27 15:00:00,6426.19
DE8,2021-01-27 15:00:00,5783.57
DE9,2021-01-27 15:00:00,3855.71
DE0,2021-01-27 18:00:00,4725.71
DE1,2021-01-27 18:00:00,6497.85
DE2,2021-01-27 18:00:00,8270.0
DE3,2021-01-27 18:00:00,5316.43
DE4,2021-01-27 18:00:00,7679.28
DE5,2021-01-27 18:00:00,7088.57
DE6,2021-01-27 18:00:00,4725.71
DE7,2021-01-27 18:00:00,5907.14
DE8,2021-01-27 18:00:00,5316.43
DE9,2021-01-27 18:00:00,3544.28
DE0,2021-01-27 21:00:00,4334.14
DE1,2021-01-27 21:00:00,5959.44
DE2,2021-01-27 21:00:00,7584.74
DE3,2021-01-27 21:00:00,4875.9
DE4,2021-01-27 21:00:00,7042.97
DE5,2021-01-27 21:00:00,6501.2
DE6,2021-01-27 21:00:00,4334.14
DE7,2021-01-27 21:00:00,5417.67
DE8,2021-01-27 21:00:00,4875.9
DE9,2021-01-27 21:00:00,3250.6
DE0,2021-01-28 00:00:00,4366.4
DE1,2021-01-28 00:00:00,6003.8
DE2,2021-01-28 00:00:00,7641.2
DE3,2021-01-28 00:00:00,4912.2
DE4,2021-01-28 00:00:00,7095.4
DE5,2021-01-28 00:00:00,6549.6
DE6,2021-01-28 00:00:00,4366.4
DE7,2021-01-28 00:00:00,5458.0
DE8,2021-01-28 00:00:00,4912.2
DE9,2021-01-28 00:00:00,3274.8
DE0,2021-01-28 03:00:00,4571.08
DE1,2021-01-28 03:00:00,6285.24
DE2,2021-01-28 03:00:00,7999.4
DE3,2021-01-28 03:00:00,5142.47
DE4,2021-01-28 03:00:00,7428.01
DE5,2021-01-28 03:00:00,6856.63
DE6,2021-01-28 03:00:00,4571.08
DE7,2021-01-28 03:00:00,5713.86
DE8,2021-01-28 03:00:00,5142.47
DE9,2021-01-28 03:00:00,3428.31
DE0,2021-01-28 06:00:00,5003.59
DE1,2021-01-28 06:00:00,6879.94
DE2,2021-01-28 06:00:00,8756.28
DE3,2021-01-28 06:00:00,5629.04
DE4,2021-01-28 06:00:00,8130.84
DE5,2021-01-28 06:00:00,7505.39
DE6,2021-01-28 06:00:00,5003.59
DE7,2021-01-28 06:00:00,6254.49
DE8,2021-01-28 06:00:00,5629.04
DE9,2021-01-28 06:00:00,3752.69
DE0,2021-01-28 09:00:00,5410.56
DE1,2021-01-28 09:00:00,7439.52
DE2,2021-01-28 09:00:00,9468.49
DE3,2021-01-28 09:00:00,6086.88
DE4,2021-01-28 09:00:00,8792.17
DE5,2021-01-28 09:00:00,8115.85
DE6,2021-01-28 09:00:00,5410.56
DE7,2021-01-28 09:00:00,6763.2
DE8,2021-01-28 09:00:00,6086.88
DE9,2021-01-28 09:00:00,4057.92
DE0,2021-01-28 12:00:00,5553.6
DE1,2021-01-28 12:00:00,7636.2
