bus,efficiency_store,efficiency_dispatch,standing_loss_per_h,capital_cost_power_EUR_per_MWyr,capital_cost_energy_EUR_per_MWhyr,marginal_cost_EUR_per_MWh,max_hours
DE0,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE1,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE2,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE3,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE4,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE5,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE6,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE7,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE8,0.95,0.95,0.0001,35000,15000,0.0,4.0
DE9,0.95,0.95,0.0001,35000,15000,0.0,4.0
