bus,tech,p_nom_MW
DE0,biomass,731.5328
DE0,ccgt,2260.9700000000003
DE0,coal,0.0
DE0,lignite,0.0
DE0,ocgt,332.658905
DE0,offshore,1828.2250000000001
DE0,oil,516.3628
DE0,onwind,11604.43
DE0,solar,8525.908923
DE0,waste,209.164
DE1,biomass,881.02269
DE1,ccgt,635.63502
DE1,coal,0.0
DE1,lignite,0.0
DE1,ocgt,1027.2926000000002
DE1,oil,520.4817679999999
DE1,onwind,2259.866
DE1,solar,4596.430265
DE1,waste,292.304
DE2,biomass,568.9604300000001
DE2,ccgt,9221.92266
DE2,coal,0.0
DE2,lignite,0.0
DE2,ocgt,735.766174
DE2,oil,813.9066280000002
DE2,onwind,7436.66
DE2,solar,3635.031785
DE2,waste,747.327
DE3,biomass,893.78294
DE3,ccgt,1192.6648
DE3,lignite,0.0
DE3,ocgt,305.71444599999995
DE3,oil,256.15920000000006
DE3,onwind,9645.106
DE3,solar,3933.179306
DE3,waste,289.28000000000003
DE4,biomass,951.981008
DE4,ccgt,2660.79339
DE4,coal,0.0
DE4,geothermal,19.1
DE4,ocgt,633.000432
DE4,oil,1218.4393799999998
DE4,onwind,549.8629999999999
DE4,solar,7072.4324719999995
DE4,waste,218.72600000000003
DE5,biomass,285.05758000000003
DE5,ccgt,5373.94597
DE5,coal,0.0
DE5,geothermal,7.8
DE5,lignite,0.0
DE5,ocgt,1028.289659
DE5,oil,1421.3248899999999
DE5,onwind,4342.781
DE5,solar,2814.517194
DE5,waste,490.74899999999997
DE6,biomass,666.89985
DE6,ccgt,1940.4052000000001
DE6,coal,0.0
DE6,lignite,0.0
DE6,ocgt,258.197924
DE6,oil,225.9437
DE6,onwind,3445.796
DE6,solar,5492.105666
DE6,waste,110.525
DE7,biomass,1365.021507
DE7,ccgt,4222.553
DE7,coal,0.0
DE7,lignite,0.0
DE7,ocgt,762.6708429999999
DE7,offshore,8782.918
DE7,oil,212.35846
DE7,onwind,14015.0434
DE7,solar,3273.417311
DE7,waste,412.461
DE8,biomass,1174.4272669999998
DE8,ccgt,1308.6536
DE8,coal,0.0
DE8,ocgt,452.59878199999997
DE8,offshore,552.6
DE8,oil,229.88755999999995
DE8,onwind,14179.36
DE8,solar,3195.790879
DE8,waste,139.638
DE9,biomass,501.31576100000007
DE9,ccgt,1965.5846899999997
DE9,lignite,0.0
DE9,ocgt,576.553958
DE9,oil,269.48159999999996
DE9,onwind,5853.1605
DE9,solar,6232.440219
DE9,waste,217.48500000000004
