t,scale,MW
2021-01-18T00:00:00,1.0,0.0
2021-01-18T03:00:00,1.0,0.0
2021-01-18T06:00:00,1.0,0.0
2021-01-18T09:00:00,1.0,0.0
2021-01-18T12:00:00,1.0,0.0
2021-01-18T15:00:00,1.0,0.0
2021-01-18T18:00:00,1.0,0.0
2021-01-18T21:00:00,1.0,0.0
2021-01-19T00:00:00,1.0,0.0
2021-01-19T03:00:00,1.0,0.0
2021-01-19T06:00:00,1.0,0.0
2021-01-19T09:00:00,1.0,0.0
2021-01-19T12:00:00,1.0,0.0
2021-01-19T15:00:00,1.0,0.0
2021-01-19T18:00:00,1.0,0.0
2021-01-19T21:00:00,1.0,0.0
2021-01-20T00:00:00,1.0,0.0
2021-01-20T03:00:00,1.0,0.0
2021-01-20T06:00:00,1.0,0.0
2021-01-20T09:00:00,1.0,0.0
2021-01-20T12:00:00,1.0,0.0
2021-01-20T15:00:00,1.0,0.0
2021-01-20T18:00:00,1.0,0.0
2021-01-20T21:00:00,1.0,0.0
2021-01-21T00:00:00,1.0,0.0
2021-01-21T03:00:00,1.0,0.0
2021-01-21T06:00:00,1.0,0.0
2021-01-21T09:00:00,1.0,0.0
2021-01-21T12:00:00,1.0,0.0
2021-01-21T15:00:00,1.0,0.0
2021-01-21T18:00:00,1.0,0.0
2021-01-21T21:00:00,1.0,0.0
2021-01-22T00:00:00,1.0,0.0
2021-01-22T03:00:00,1.0,0.0
2021-01-22T06:00:00,1.0,0.0
2021-01-22T09:00:00,1.0,0.0
2021-01-22T12:00:00,1.0,0.0
2021-01-22T15:00:00,1.0,0.0
2021-01-22T18:00:00,1.0,0.0
2021-01-22T21:00:00,1.0,0.0
2021-01-23T00:00:00,1.0,0.0
2021-01-23T03:00:00,1.0,0.0
2021-01-23T06:00:00,1.0,0.0
2021-01-23T09:00:00,1.0,0.0
2021-01-23T12:00:00,1.0,0.0
2021-01-23T15:00:00,1.0,0.0
2021-01-23T18:00:00,1.0,0.0
2021-01-23T21:00:00,1.0,0.0
2021-01-24T00:00:00,1.0,0.0
2021-01-24T03:00:00,1.0,0.0
2021-01-24T06:00:00,1.0,0.0
2021-01-24T09:00:00,1.0,0.0
2021-01-24T12:00:00,1.0,0.0
2021-01-24T15:00:00,1.0,0.0
2021-01-24T18:00:00,1.0,0.0
2021-01-24T21:00:00,1.0,0.0
2021-01-25T00:00:00,1.0,0.0
2021-01-25T03:00:00,1.0,0.0
2021-01-25T06:00:00,1.0,9757.400730422676
2021-01-25T09:00:00,1.0,6683.101689762298
2021-01-25T12:00:00,1.0,4009.556089019541
2021-01-25T15:00:00,1.0,6095.338457210768
2021-01-25T18:00:00,1.0,0.0
2021-01-25T21:00:00,1.0,0.0
2021-01-26T00:00:00,1.0,0.0
2021-01-26T03:00:00,1.0,0.0
2021-01-26T06:00:00,1.0,7182.384226009126
2021-01-26T09:00:00,1.0,9955.632177068597
2021-01-26T12:00:00,1.0,9617.348480720706
2021-01-26T15:00:00,1.0,13254.074510279352
2021-01-26T18:00:00,1.0,10204.922001070598
2021-01-26T21:00:00,1.0,1358.0680855162464
2021-01-27T00:00:00,1.0,0.0
2021-01-27T03:00:00,1.0,580.776698270387
2021-01-27T06:00:00,1.0,13719.230302114702
2021-01-27T09:00:00,1.0,14996.881395497876
2021-01-27T12:00:00,1.0,13770.38433582527
2021-01-27T15:00:00,1.0,15460.704180513909
2021-01-27T18:00:00,1.0,10360.92389317073
2021-01-27T21:00:00,1.0,726.6357930943232
2021-01-28T00:00:00,1.0,0.0
2021-01-28T03:00:00,1.0,1603.530034169813
2021-01-28T06:00:00,1.0,15442.06331077373
2021-01-28T09:00:00,1.0,18063.4050868797
2021-01-28T12:00:00,1.0,15037.050604288328
2021-01-28T15:00:00,1.0,15699.71050244
2021-01-28T18:00:00,1.0,9865.366810077227
2021-01-28T21:00:00,1.0,1092.9555895238773
2021-01-29T00:00:00,1.0,0.0
2021-01-29T03:00:00,1.0,0.0
2021-01-29T06:00:00,1.0,8713.888761687667
2021-01-29T09:00:00,1.0,9724.155562993787
2021-01-29T12:00:00,1.0,6503.547762947572
2021-01-29T15:00:00,1.0,7183.074099053229
2021-01-29T18:00:00,1.0,3704.1378429861434
2021-01-29T21:00:00,1.0,0.0
2021-01-30T00:00:00,1.0,0.0
2021-01-30T03:00:00,1.0,0.0
2021-01-30T06:00:00,1.0,0.0
2021-01-30T09:00:00,1.0,4684.558336046342
2021-01-30T12:00:00,1.0,3134.325036182381
2021-01-30T15:00:00,1.0,6534.706554890952
2021-01-30T18:00:00,1.0,3437.194908142519
2021-01-30T21:00:00,1.0,0.0
2021-01-31T00:00:00,1.0,0.0
2021-01-31T03:00:00,1.0,0.0
2021-01-31T06:00:00,1.0,0.0
2021-01-31T09:00:00,1.0,251.68976702830332
2021-01-31T12:00:00,1.0,0.0
2021-01-31T15:00:00,1.0,3596.1658117125553
2021-01-31T18:00:00,1.0,1205.9731635370663
2021-01-31T21:00:00,1.0,0.0
2021-02-01T00:00:00,1.0,0.0
2021-02-01T03:00:00,1.0,0.0
2021-02-01T06:00:00,1.0,11212.597630489698
2021-02-01T09:00:00,1.0,13769.145639020913
2021-02-01T12:00:00,1.0,14427.142273176847
2021-02-01T15:00:00,1.0,15879.827799390077
2021-02-01T18:00:00,1.0,12359.44412122247
2021-02-01T21:00:00,1.0,3024.865544024702
2021-02-02T00:00:00,1.0,0.0
2021-02-02T03:00:00,1.0,1856.4201050260199
2021-02-02T06:00:00,1.0,15715.327145136536
2021-02-02T09:00:00,1.0,17725.074530613863
2021-02-02T12:00:00,1.0,15528.683084043594
2021-02-02T15:00:00,1.0,14955.13086792417
2021-02-02T18:00:00,1.0,9472.276028036977
2021-02-02T21:00:00,1.0,0.0
2021-02-03T00:00:00,1.0,0.0
2021-02-03T03:00:00,1.0,0.0
2021-02-03T06:00:00,1.0,10872.963703246605
2021-02-03T09:00:00,1.0,14509.832573303567
2021-02-03T12:00:00,1.0,12277.74875525866
2021-02-03T15:00:00,1.0,10971.28476316049
2021-02-03T18:00:00,1.0,6324.656184126266
2021-02-03T21:00:00,1.0,0.0
2021-02-04T00:00:00,1.0,0.0
2021-02-04T03:00:00,1.0,0.0
2021-02-04T06:00:00,1.0,10246.591122397564
2021-02-04T09:00:00,1.0,11213.07906080444
2021-02-04T12:00:00,1.0,9357.185934058733
2021-02-04T15:00:00,1.0,13013.277252146676
2021-02-04T18:00:00,1.0,9745.990306364249
2021-02-04T21:00:00,1.0,0.0
2021-02-05T00:00:00,1.0,0.0
2021-02-05T03:00:00,1.0,0.0
