t,scale,MW
2021-01-18T00:00:00,1.0,0.0
2021-01-18T03:00:00,1.0,0.0
2021-01-18T06:00:00,1.0,0.0
2021-01-18T09:00:00,1.0,0.0
2021-01-18T12:00:00,1.0,0.0
2021-01-18T15:00:00,1.0,0.0
2021-01-18T18:00:00,1.0,0.0
2021-01-18T21:00:00,1.0,0.0
2021-01-19T00:00:00,1.0,0.0
2021-01-19T03:00:00,1.0,0.0
2021-01-19T06:00:00,1.0,0.0
2021-01-19T09:00:00,1.0,0.0
2021-01-19T12:00:00,1.0,0.0
2021-01-19T15:00:00,1.0,0.0
2021-01-19T18:00:00,1.0,0.0
2021-01-19T21:00:00,1.0,0.0
2021-01-20T00:00:00,1.0,0.0
2021-01-20T03:00:00,1.0,0.0
2021-01-20T06:00:00,1.0,0.0
2021-01-20T09:00:00,1.0,0.0
2021-01-20T12:00:00,1.0,0.0
2021-01-20T15:00:00,1.0,0.0
2021-01-20T18:00:00,1.0,0.0
2021-01-20T21:00:00,1.0,0.0
2021-01-21T00:00:00,1.0,0.0
2021-01-21T03:00:00,1.0,0.0
2021-01-21T06:00:00,1.0,0.0
2021-01-21T09:00:00,1.0,0.0
2021-01-21T12:00:00,1.0,0.0
2021-01-21T15:00:00,1.0,0.0
2021-01-21T18:00:00,1.0,0.0
2021-01-21T21:00:00,1.0,0.0
2021-01-22T00:00:00,1.0,0.0
2021-01-22T03:00:00,1.0,0.0
2021-01-22T06:00:00,1.0,0.0
2021-01-22T09:00:00,1.0,0.0
2021-01-22T12:00:00,1.0,0.0
2021-01-22T15:00:00,1.0,0.0
2021-01-22T18:00:00,1.0,0.0
2021-01-22T21:00:00,1.0,0.0
2021-01-23T00:00:00,1.0,0.0
2021-01-23T03:00:00,1.0,0.0
2021-01-23T06:00:00,1.0,0.0
2021-01-23T09:00:00,1.0,0.0
2021-01-23T12:00:00,1.0,0.0
2021-01-23T15:00:00,1.0,0.0
2021-01-23T18:00:00,1.0,0.0
2021-01-23T21:00:00,1.0,0.0
2021-01-24T00:00:00,1.0,0.0
2021-01-24T03:00:00,1.0,0.0
2021-01-24T06:00:00,1.0,0.0
2021-01-24T09:00:00,1.0,0.0
2021-01-24T12:00:00,1.0,0.0
2021-01-24T15:00:00,1.0,0.0
2021-01-24T18:00:00,1.0,0.0
2021-01-24T21:00:00,1.0,0.0
2021-01-25T00:00:00,1.0,0.0
2021-01-25T03:00:00,1.0,0.0
2021-01-25T06:00:00,1.0,5707.400730422676
2021-01-25T09:00:00,1.0,2633.1016897622976
2021-01-25T12:00:00,1.0,0.0
2021-01-25T15:00:00,1.0,2045.338457210768
2021-01-25T18:00:00,1.0,0.0
2021-01-25T21:00:00,1.0,0.0
2021-01-26T00:00:00,1.0,0.0
2021-01-26T03:00:00,1.0,0.0
2021-01-26T06:00:00,1.0,3132.384226009126
2021-01-26T09:00:00,1.0,5905.632177068597
2021-01-26T12:00:00,1.0,5567.348480720706
2021-01-26T15:00:00,1.0,9204.074510279352
2021-01-26T18:00:00,1.0,6154.922001070598
2021-01-26T21:00:00,1.0,0.0
2021-01-27T00:00:00,1.0,0.0
2021-01-27T03:00:00,1.0,0.0
2021-01-27T06:00:00,1.0,9669.230302114702
2021-01-27T09:00:00,1.0,10946.881395497876
2021-01-27T12:00:00,1.0,9720.38433582527
2021-01-27T15:00:00,1.0,11410.704180513909
2021-01-27T18:00:00,1.0,6310.92389317073
2021-01-27T21:00:00,1.0,0.0
2021-01-28T00:00:00,1.0,0.0
2021-01-28T03:00:00,1.0,0.0
2021-01-28T06:00:00,1.0,11392.06331077373
2021-01-28T09:00:00,1.0,14013.405086879699
2021-01-28T12:00:00,1.0,10987.050604288328
2021-01-28T15:00:00,1.0,11649.71050244
2021-01-28T18:00:00,1.0,5815.366810077227
2021-01-28T21:00:00,1.0,0.0
2021-01-29T00:00:00,1.0,0.0
2021-01-29T03:00:00,1.0,0.0
2021-01-29T06:00:00,1.0,4663.888761687667
2021-01-29T09:00:00,1.0,5674.155562993787
2021-01-29T12:00:00,1.0,2453.5477629475718
2021-01-29T15:00:00,1.0,3133.0740990532286
2021-01-29T18:00:00,1.0,0.0
2021-01-29T21:00:00,1.0,0.0
2021-01-30T00:00:00,1.0,0.0
2021-01-30T03:00:00,1.0,0.0
2021-01-30T06:00:00,1.0,0.0
2021-01-30T09:00:00,1.0,634.5583360463424
2021-01-30T12:00:00,1.0,0.0
2021-01-30T15:00:00,1.0,2484.7065548909522
2021-01-30T18:00:00,1.0,0.0
2021-01-30T21:00:00,1.0,0.0
2021-01-31T00:00:00,1.0,0.0
2021-01-31T03:00:00,1.0,0.0
2021-01-31T06:00:00,1.0,0.0
2021-01-31T09:00:00,1.0,0.0
2021-01-31T12:00:00,1.0,0.0
2021-01-31T15:00:00,1.0,0.0
2021-01-31T18:00:00,1.0,0.0
2021-01-31T21:00:00,1.0,0.0
2021-02-01T00:00:00,1.0,0.0
2021-02-01T03:00:00,1.0,0.0
2021-02-01T06:00:00,1.0,7162.597630489698
2021-02-01T09:00:00,1.0,9719.145639020913
2021-02-01T12:00:00,1.0,10377.142273176847
2021-02-01T15:00:00,1.0,11829.827799390077
2021-02-01T18:00:00,1.0,8309.44412122247
2021-02-01T21:00:00,1.0,0.0
2021-02-02T00:00:00,1.0,0.0
2021-02-02T03:00:00,1.0,0.0
2021-02-02T06:00:00,1.0,11665.327145136536
2021-02-02T09:00:00,1.0,13675.074530613863
2021-02-02T12:00:00,1.0,11478.683084043594
2021-02-02T15:00:00,1.0,10905.13086792417
2021-02-02T18:00:00,1.0,5422.276028036977
2021-02-02T21:00:00,1.0,0.0
2021-02-03T00:00:00,1.0,0.0
2021-02-03T03:00:00,1.0,0.0
2021-02-03T06:00:00,1.0,6822.963703246605
2021-02-03T09:00:00,1.0,10459.832573303567
2021-02-03T12:00:00,1.0,8227.74875525866
2021-02-03T15:00:00,1.0,6921.284763160489
2021-02-03T18:00:00,1.0,2274.6561841262665
2021-02-03T21:00:00,1.0,0.0
2021-02-04T00:00:00,1.0,0.0
2021-02-04T03:00:00,1.0,0.0
2021-02-04T06:00:00,1.0,6196.591122397564
2021-02-04T09:00:00,1.0,7163.079060804441
2021-02-04T12:00:00,1.0,5307.1859340587325
2021-02-04T15:00:00,1.0,8963.277252146676
2021-02-04T18:00:00,1.0,5695.990306364249
2021-02-04T21:00:00,1.0,0.0
2021-02-05T00:00:00,1.0,0.0
2021-02-05T03:00:00,1.0,0.0
2021-02-05T06:00:00,1.0,5881.026802725864
2021-02-05T09:00:00,1.0,7616.3068557928855
