b,t,scale,MW
ccgt,2021-01-18T00:00:00,1.0,0.0
ccgt,2021-01-18T03:00:00,1.0,0.0
ccgt,2021-01-18T06:00:00,1.0,0.0
ccgt,2021-01-18T09:00:00,1.0,0.0
ccgt,2021-01-18T12:00:00,1.0,0.0
ccgt,2021-01-18T15:00:00,1.0,0.0
ccgt,2021-01-18T18:00:00,1.0,0.0
ccgt,2021-01-18T21:00:00,1.0,0.0
ccgt,2021-01-19T00:00:00,1.0,0.0
ccgt,2021-01-19T03:00:00,1.0,0.0
ccgt,2021-01-19T06:00:00,1.0,0.0
ccgt,2021-01-19T09:00:00,1.0,0.0
ccgt,2021-01-19T12:00:00,1.0,0.0
ccgt,2021-01-19T15:00:00,1.0,0.0
ccgt,2021-01-19T18:00:00,1.0,0.0
ccgt,2021-01-19T21:00:00,1.0,0.0
ccgt,2021-01-20T00:00:00,1.0,0.0
ccgt,2021-01-20T03:00:00,1.0,0.0
ccgt,2021-01-20T06:00:00,1.0,0.0
ccgt,2021-01-20T09:00:00,1.0,0.0
ccgt,2021-01-20T12:00:00,1.0,0.0
ccgt,2021-01-20T15:00:00,1.0,0.0
ccgt,2021-01-20T18:00:00,1.0,0.0
ccgt,2021-01-20T21:00:00,1.0,0.0
ccgt,2021-01-21T00:00:00,1.0,0.0
ccgt,2021-01-21T03:00:00,1.0,0.0
ccgt,2021-01-21T06:00:00,1.0,0.0
ccgt,2021-01-21T09:00:00,1.0,0.0
ccgt,2021-01-21T12:00:00,1.0,0.0
ccgt,2021-01-21T15:00:00,1.0,0.0
ccgt,2021-01-21T18:00:00,1.0,0.0
ccgt,2021-01-21T21:00:00,1.0,0.0
ccgt,2021-01-22T00:00:00,1.0,0.0
ccgt,2021-01-22T03:00:00,1.0,0.0
ccgt,2021-01-22T06:00:00,1.0,0.0
ccgt,2021-01-22T09:00:00,1.0,0.0
ccgt,2021-01-22T12:00:00,1.0,0.0
ccgt,2021-01-22T15:00:00,1.0,0.0
ccgt,2021-01-22T18:00:00,1.0,0.0
ccgt,2021-01-22T21:00:00,1.0,0.0
ccgt,2021-01-23T00:00:00,1.0,0.0
