n,t,scale,MW
DE,2021-01-18T00:00:00,1.0,0.0
DE,2021-01-18T03:00:00,1.0,0.0
DE,2021-01-18T06:00:00,1.0,0.0
DE,2021-01-18T09:00:00,1.0,0.0
DE,2021-01-18T12:00:00,1.0,0.0
DE,2021-01-18T15:00:00,1.0,0.0
DE,2021-01-18T18:00:00,1.0,0.0
DE,2021-01-18T21:00:00,1.0,0.0
DE,2021-01-19T00:00:00,1.0,0.0
DE,2021-01-19T03:00:00,1.0,0.0
DE,2021-01-19T06:00:00,1.0,0.0
DE,2021-01-19T09:00:00,1.0,0.0
DE,2021-01-19T12:00:00,1.0,0.0
DE,2021-01-19T15:00:00,1.0,0.0
DE,2021-01-19T18:00:00,1.0,0.0
DE,2021-01-19T21:00:00,1.0,0.0
DE,2021-01-20T00:00:00,1.0,0.0
DE,2021-01-20T03:00:00,1.0,0.0
DE,2021-01-20T06:00:00,1.0,0.0
DE,2021-01-20T09:00:00,1.0,0.0
DE,2021-01-20T12:00:00,1.0,0.0
DE,2021-01-20T15:00:00,1.0,0.0
DE,2021-01-20T18:00:00,1.0,0.0
DE,2021-01-20T21:00:00,1.0,0.0
DE,2021-01-21T00:00:00,1.0,0.0
DE,2021-01-21T03:00:00,1.0,0.0
DE,2021-01-21T06:00:00,1.0,0.0
DE,2021-01-21T09:00:00,1.0,0.0
DE,2021-01-21T12:00:00,1.0,0.0
DE,2021-01-21T15:00:00,1.0,0.0
DE,2021-01-21T18:00:00,1.0,0.0
DE,2021-01-21T21:00:00,1.0,0.0
DE,2021-01-22T00:00:00,1.0,0.0
DE,2021-01-22T03:00:00,1.0,0.0
DE,2021-01-22T06:00:00,1.0,0.0
DE,2021-01-22T09:00:00,1.0,0.0
DE,2021-01-22T12:00:00,1.0,0.0
DE,2021-01-22T15:00:00,1.0,0.0
DE,2021-01-22T18:00:00,1.0,0.0
DE,2021-01-22T21:00:00,1.0,0.0
DE,2021-01-23T00:00:00,1.0,0.0
DE,2021-01-23T03:00:00,1.0,0.0
DE,2021-01-23T06:00:00,1.0,0.0
DE,2021-01-23T09:00:00,1.0,0.0
DE,2021-01-23T12:00:00,1.0,0.0
DE,2021-01-23T15:00:00,1.0,0.0
DE,2021-01-23T18:00:00,1.0,0.0
DE,2021-01-23T21:00:00,1.0,0.0
DE,2021-01-24T00:00:00,1.0,0.0
DE,2021-01-24T03:00:00,1.0,0.0
DE,2021-01-24T06:00:00,1.0,0.0
DE,2021-01-24T09:00:00,1.0,0.0
DE,2021-01-24T12:00:00,1.0,0.0
DE,2021-01-24T15:00:00,1.0,0.0
DE,2021-01-24T18:00:00,1.0,0.0
DE,2021-01-24T21:00:00,1.0,0.0
DE,2021-01-25T00:00:00,1.0,0.0
DE,2021-01-25T03:00:00,1.0,0.0
DE,2021-01-25T06:00:00,1.0,12911.959730422692
DE,2021-01-25T09:00:00,1.0,9837.660689762293
DE,2021-01-25T12:00:00,1.0,7164.115089019531
DE,2021-01-25T15:00:00,1.0,9249.897457210778
DE,2021-01-25T18:00:00,1.0,1796.690305992608
DE,2021-01-25T21:00:00,1.0,0.0
DE,2021-01-26T00:00:00,1.0,0.0
DE,2021-01-26T03:00:00,1.0,0.0
DE,2021-01-26T06:00:00,1.0,10336.943226009118
DE,2021-01-26T09:00:00,1.0,13110.191177068571
DE,2021-01-26T12:00:00,1.0,12771.907480720705
DE,2021-01-26T15:00:00,1.0,16408.633510279324
DE,2021-01-26T18:00:00,1.0,13359.481001070611
DE,2021-01-26T21:00:00,1.0,4512.627085516229
DE,2021-01-27T00:00:00,1.0,0.0
DE,2021-01-27T03:00:00,1.0,3735.335698270373
DE,2021-01-27T06:00:00,1.0,16873.789302114703
DE,2021-01-27T09:00:00,1.0,18151.44039549787
DE,2021-01-27T12:00:00,1.0,16924.94333582527
DE,2021-01-27T15:00:00,1.0,18615.26318051391
DE,2021-01-27T18:00:00,1.0,13515.482893170727
DE,2021-01-27T21:00:00,1.0,3881.1947930943193
DE,2021-01-28T00:00:00,1.0,0.0
DE,2021-01-28T03:00:00,1.0,4758.089034169811
DE,2021-01-28T06:00:00,1.0,18596.622310773728
DE,2021-01-28T09:00:00,1.0,21217.964086879692
DE,2021-01-28T12:00:00,1.0,18191.609604288333
DE,2021-01-28T15:00:00,1.0,18854.26950243999
DE,2021-01-28T18:00:00,1.0,13019.925810077204
DE,2021-01-28T21:00:00,1.0,4247.51458952388
DE,2021-01-29T00:00:00,1.0,0.0
DE,2021-01-29T03:00:00,1.0,1377.0433062445572
DE,2021-01-29T06:00:00,1.0,11868.447761687647
DE,2021-01-29T09:00:00,1.0,12878.714562993766
DE,2021-01-29T12:00:00,1.0,9658.106762947562
DE,2021-01-29T15:00:00,1.0,10337.633099053244
DE,2021-01-29T18:00:00,1.0,6858.696842986133
DE,2021-01-29T21:00:00,1.0,0.0
DE,2021-01-30T00:00:00,1.0,0.0
DE,2021-01-30T03:00:00,1.0,0.0
DE,2021-01-30T06:00:00,1.0,1351.7897648722028
DE,2021-01-30T09:00:00,1.0,7839.117336046333
DE,2021-01-30T12:00:00,1.0,6288.884036182391
DE,2021-01-30T15:00:00,1.0,9689.265554890946
DE,2021-01-30T18:00:00,1.0,6591.753908142517
DE,2021-01-30T21:00:00,1.0,411.19280011634623
DE,2021-01-31T00:00:00,1.0,0.0
DE,2021-01-31T03:00:00,1.0,0.0
DE,2021-01-31T06:00:00,1.0,0.0
DE,2021-01-31T09:00:00,1.0,3406.248767028303
DE,2021-01-31T12:00:00,1.0,1443.9465023786722
DE,2021-01-31T15:00:00,1.0,6750.724811712551
DE,2021-01-31T18:00:00,1.0,4360.532163537064
DE,2021-01-31T21:00:00,1.0,0.0
DE,2021-02-01T00:00:00,1.0,0.0
DE,2021-02-01T03:00:00,1.0,8.40671618427632
