n,t,scale,MW
DE,2021-01-18T00:00:00,1.0,0.0
DE,2021-01-18T03:00:00,1.0,0.0
DE,2021-01-18T06:00:00,1.0,0.0
DE,2021-01-18T09:00:00,1.0,0.0
DE,2021-01-18T12:00:00,1.0,0.0
DE,2021-01-18T15:00:00,1.0,0.0
DE,2021-01-18T18:00:00,1.0,0.0
DE,2021-01-18T21:00:00,1.0,0.0
DE,2021-01-19T00:00:00,1.0,0.0
DE,2021-01-19T03:00:00,1.0,0.0
DE,2021-01-19T06:00:00,1.0,0.0
DE,2021-01-19T09:00:00,1.0,0.0
DE,2021-01-19T12:00:00,1.0,0.0
DE,2021-01-19T15:00:00,1.0,0.0
DE,2021-01-19T18:00:00,1.0,0.0
DE,2021-01-19T21:00:00,1.0,0.0
DE,2021-01-20T00:00:00,1.0,0.0
DE,2021-01-20T03:00:00,1.0,0.0
DE,2021-01-20T06:00:00,1.0,0.0
DE,2021-01-20T09:00:00,1.0,0.0
DE,2021-01-20T12:00:00,1.0,0.0
DE,2021-01-20T15:00:00,1.0,0.0
DE,2021-01-20T18:00:00,1.0,0.0
DE,2021-01-20T21:00:00,1.0,0.0
DE,2021-01-21T00:00:00,1.0,0.0
DE,2021-01-21T03:00:00,1.0,0.0
DE,2021-01-21T06:00:00,1.0,0.0
DE,2021-01-21T09:00:00,1.0,0.0
DE,2021-01-21T12:00:00,1.0,0.0
DE,2021-01-21T15:00:00,1.0,0.0
DE,2021-01-21T18:00:00,1.0,0.0
DE,2021-01-21T21:00:00,1.0,0.0
DE,2021-01-22T00:00:00,1.0,0.0
DE,2021-01-22T03:00:00,1.0,0.0
DE,2021-01-22T06:00:00,1.0,0.0
DE,2021-01-22T09:00:00,1.0,0.0
DE,2021-01-22T12:00:00,1.0,0.0
DE,2021-01-22T15:00:00,1.0,0.0
DE,2021-01-22T18:00:00,1.0,0.0
DE,2021-01-22T21:00:00,1.0,0.0
DE,2021-01-23T00:00:00,1.0,0.0
DE,2021-01-23T03:00:00,1.0,0.0
DE,2021-01-23T06:00:00,1.0,0.0
DE,2021-01-23T09:00:00,1.0,0.0
DE,2021-01-23T12:00:00,1.0,0.0
DE,2021-01-23T15:00:00,1.0,0.0
DE,2021-01-23T18:00:00,1.0,0.0
DE,2021-01-23T21:00:00,1.0,0.0
DE,2021-01-24T00:00:00,1.0,0.0
DE,2021-01-24T03:00:00,1.0,0.0
DE,2021-01-24T06:00:00,1.0,0.0
DE,2021-01-24T09:00:00,1.0,0.0
DE,2021-01-24T12:00:00,1.0,0.0
DE,2021-01-24T15:00:00,1.0,0.0
DE,2021-01-24T18:00:00,1.0,0.0
DE,2021-01-24T21:00:00,1.0,0.0
DE,2021-01-25T00:00:00,1.0,0.0
DE,2021-01-25T03:00:00,1.0,129.2700871659663
DE,2021-01-25T06:00:00,1.0,14546.305716422692
DE,2021-01-25T09:00:00,1.0,11472.006675762294
DE,2021-01-25T12:00:00,1.0,8798.461075019532
DE,2021-01-25T15:00:00,1.0,10884.24344321078
DE,2021-01-25T18:00:00,1.0,3431.0362919926083
DE,2021-01-25T21:00:00,1.0,0.0
DE,2021-01-26T00:00:00,1.0,0.0
DE,2021-01-26T03:00:00,1.0,0.0
DE,2021-01-26T06:00:00,1.0,11971.289212009118
DE,2021-01-26T09:00:00,1.0,14744.537163068571
DE,2021-01-26T12:00:00,1.0,14406.253466720706
DE,2021-01-26T15:00:00,1.0,18042.979496279324
DE,2021-01-26T18:00:00,1.0,14993.826987070612
DE,2021-01-26T21:00:00,1.0,6146.973071516231
DE,2021-01-27T00:00:00,1.0,332.81252918515383
DE,2021-01-27T03:00:00,1.0,5369.681684270372
DE,2021-01-27T06:00:00,1.0,18508.135288114703
DE,2021-01-27T09:00:00,1.0,19785.786381497863
DE,2021-01-27T12:00:00,1.0,18559.289321825272
DE,2021-01-27T15:00:00,1.0,20249.60916651391
DE,2021-01-27T18:00:00,1.0,15149.828879170727
DE,2021-01-27T21:00:00,1.0,5515.540779094321
DE,2021-01-28T00:00:00,1.0,0.0
DE,2021-01-28T03:00:00,1.0,6392.435020169812
DE,2021-01-28T06:00:00,1.0,20230.968296773728
DE,2021-01-28T09:00:00,1.0,22852.310072879693
DE,2021-01-28T12:00:00,1.0,19825.955590288333
DE,2021-01-28T15:00:00,1.0,20488.61548843999
DE,2021-01-28T18:00:00,1.0,14654.271796077206
DE,2021-01-28T21:00:00,1.0,5881.8605755238805
DE,2021-01-29T00:00:00,1.0,0.0
DE,2021-01-29T03:00:00,1.0,3011.3892922445575
DE,2021-01-29T06:00:00,1.0,13502.793747687647
DE,2021-01-29T09:00:00,1.0,14513.060548993766
DE,2021-01-29T12:00:00,1.0,11292.452748947562
DE,2021-01-29T15:00:00,1.0,11971.979085053244
DE,2021-01-29T18:00:00,1.0,8493.042828986134
DE,2021-01-29T21:00:00,1.0,0.0
DE,2021-01-30T00:00:00,1.0,0.0
DE,2021-01-30T03:00:00,1.0,0.0
DE,2021-01-30T06:00:00,1.0,2986.1357508722026
DE,2021-01-30T09:00:00,1.0,9473.463322046333
DE,2021-01-30T12:00:00,1.0,7923.230022182393
DE,2021-01-30T15:00:00,1.0,11323.611540890946
DE,2021-01-30T18:00:00,1.0,8226.099894142517
DE,2021-01-30T21:00:00,1.0,2045.5387861163465
DE,2021-01-31T00:00:00,1.0,0.0
DE,2021-01-31T03:00:00,1.0,0.0
DE,2021-01-31T06:00:00,1.0,0.0
DE,2021-01-31T09:00:00,1.0,5040.594753028303
DE,2021-01-31T12:00:00,1.0,3078.2924883786727
DE,2021-01-31T15:00:00,1.0,8385.070797712551
DE,2021-01-31T18:00:00,1.0,5994.878149537066
DE,2021-01-31T21:00:00,1.0,1141.4834388177655
DE,2021-02-01T00:00:00,1.0,0.0
DE,2021-02-01T03:00:00,1.0,1642.7527021842766
