n,k,t,scale,MW
DE,onwind,2021-01-18T00:00:00,1.0,10821.774552106788
DE,onwind,2021-01-18T03:00:00,1.0,12807.125426150877
DE,onwind,2021-01-18T06:00:00,1.0,16408.784553595036
DE,onwind,2021-01-18T09:00:00,1.0,24057.288849312787
DE,onwind,2021-01-18T12:00:00,1.0,33368.912021598895
DE,onwind,2021-01-18T15:00:00,1.0,36610.19375243522
DE,onwind,2021-01-18T18:00:00,1.0,40719.74081210794
DE,onwind,2021-01-18T21:00:00,1.0,39188.462658742814
DE,onwind,2021-01-19T00:00:00,1.0,39603.52598418378
DE,onwind,2021-01-19T03:00:00,1.0,43585.39753618391
DE,onwind,2021-01-19T06:00:00,1.0,49946.36060544376
DE,onwind,2021-01-19T09:00:00,1.0,55849.21408550298
DE,onwind,2021-01-19T12:00:00,1.0,53763.18875677365
DE,onwind,2021-01-19T15:00:00,1.0,47485.87016560707
DE,onwind,2021-01-19T18:00:00,1.0,49632.67316614218
DE,onwind,2021-01-19T21:00:00,1.0,49916.02325539666
DE,onwind,2021-01-20T00:00:00,1.0,43572.768734607256
DE,onwind,2021-01-20T03:00:00,1.0,48993.107842176134
DE,onwind,2021-01-20T06:00:00,1.0,59925.16014277355
DE,onwind,2021-01-20T09:00:00,1.0,54694.82149762893
DE,onwind,2021-01-20T12:00:00,1.0,53252.038210125254
DE,onwind,2021-01-20T15:00:00,1.0,55623.88979312824
DE,onwind,2021-01-20T18:00:00,1.0,59023.783717472535
DE,onwind,2021-01-20T21:00:00,1.0,49627.58460408118
DE,onwind,2021-01-21T00:00:00,1.0,43966.98366666667
DE,onwind,2021-01-21T03:00:00,1.0,49610.700333333334
DE,onwind,2021-01-21T06:00:00,1.0,60515.482470494506
DE,onwind,2021-01-21T09:00:00,1.0,51551.973029785
DE,onwind,2021-01-21T12:00:00,1.0,53093.47576977319
DE,onwind,2021-01-21T15:00:00,1.0,60895.69338726914
DE,onwind,2021-01-21T18:00:00,1.0,57855.648105040076
DE,onwind,2021-01-21T21:00:00,1.0,48656.28077300214
DE,onwind,2021-01-22T00:00:00,1.0,47335.4139833044
DE,onwind,2021-01-22T03:00:00,1.0,49056.9724262655
DE,onwind,2021-01-22T06:00:00,1.0,53518.905149649145
DE,onwind,2021-01-22T09:00:00,1.0,38704.557637633436
DE,onwind,2021-01-22T12:00:00,1.0,30714.313963703247
DE,onwind,2021-01-22T15:00:00,1.0,24447.978398579868
DE,onwind,2021-01-22T18:00:00,1.0,22027.98694861584
DE,onwind,2021-01-22T21:00:00,1.0,16504.38302151375
DE,onwind,2021-01-23T00:00:00,1.0,11648.42030633668
DE,onwind,2021-01-23T03:00:00,1.0,11207.203788829243
DE,onwind,2021-01-23T06:00:00,1.0,14767.921011344815
DE,onwind,2021-01-23T09:00:00,1.0,14390.277514264892
DE,onwind,2021-01-23T12:00:00,1.0,10966.409436528991
DE,onwind,2021-01-23T15:00:00,1.0,7048.1603728953105
DE,onwind,2021-01-23T18:00:00,1.0,8919.128434049027
DE,onwind,2021-01-23T21:00:00,1.0,7008.917953681538
DE,onwind,2021-01-24T00:00:00,1.0,9361.507883442757
DE,onwind,2021-01-24T03:00:00,1.0,13526.036927023213
DE,onwind,2021-01-24T06:00:00,1.0,15892.802788452122
DE,onwind,2021-01-24T09:00:00,1.0,15212.397569574863
DE,onwind,2021-01-24T12:00:00,1.0,12721.19369971649
DE,onwind,2021-01-24T15:00:00,1.0,8239.393271613373
DE,onwind,2021-01-24T18:00:00,1.0,7865.968117353653
DE,onwind,2021-01-24T21:00:00,1.0,6885.164175380027
DE,onwind,2021-01-25T00:00:00,1.0,6094.1203172795995
DE,onwind,2021-01-25T03:00:00,1.0,4405.043882278461
DE,onwind,2021-01-25T06:00:00,1.0,3205.866096090434
DE,onwind,2021-01-25T09:00:00,1.0,2604.044545943596
DE,onwind,2021-01-25T12:00:00,1.0,3902.021518034075
DE,onwind,2021-01-25T15:00:00,1.0,6528.278586877266
DE,onwind,2021-01-25T18:00:00,1.0,10576.291141864895
DE,onwind,2021-01-25T21:00:00,1.0,12255.940348323029
