start,end,year,i_tau,di_tau,mean_rl_mw,max_rl_mw,cumulative_rl_gwh,mean_onwind_cf,mean_offwind_cf,mean_solar_cf,min_rolling_vre_gw,hours_below_5gw_vre,hours_below_10gw_vre,hours_below_15gw_vre,overlap_group,is_primary_independent,is_non_overlapping
2021-01-25 00:00:00,2021-02-07 23:00:00,2021,0.9067294504849706,0.9067294504849704,57080.436003292765,71870.270543412,19179.02649710637,0.05990744047619048,0.08157886904761905,0.01164017857142857,5.566301383544668,95,336,336,0,True,True
2021-01-18 00:00:00,2021-01-31 23:00:00,2021,0.6922776891072664,0.6921544401690736,43737.218917345665,71870.270543412,14698.322356758033,0.2033922619047619,0.3217892857142857,0.01938035714285714,5.620720779119626,47,172,174,1,True,True
2021-02-01 00:00:00,2021-02-14 23:00:00,2021,0.6743012938194544,0.6743012938194544,43167.45767553783,70640.75160078601,14504.265778980709,0.21942857142857145,0.2882532738095238,0.03160595238095239,5.566301383544666,48,168,172,2,True,True
2021-07-17 06:00:00,2021-07-31 05:00:00,2021,0.5794841959909994,0.5715110994446398,30914.76448769842,53958.76,10532.273943294,0.0940282738095238,0.2596443452380952,0.27443154761904764,17.778924430656797,33,84,128,3,True,True
2021-03-10 05:00:00,2021-03-24 04:00:00,2021,0.5528796081022177,0.5528796081022177,33983.062445974894,52456.742969255996,11418.308981847566,0.22447410714285715,0.48285148809523804,0.11545595238095238,19.52941312318971,2,22,37,4,True,True
2021-11-04 08:00:00,2021-11-18 07:00:00,2021,0.5517472399162386,0.5517472399162386,33285.75946630961,62554.28283156,11184.01518068003,0.2491875,0.4871482142857143,0.06828452380952381,18.579013042930793,2,16,40,5,True,True
2021-06-07 08:00:00,2021-06-21 07:00:00,2021,0.5493603360723954,0.5490785598097319,30460.22823412244,51702.555949003996,10239.888899893584,0.12129136904761906,0.25927470238095235,0.27118273809523813,19.056889741473878,22,59,89,6,True,True
2021-10-27 14:00:00,2021-11-10 13:00:00,2021,0.5472982245762534,0.5470505538297639,32478.615097685506,62554.28283156,10917.755322159759,0.2422541666666667,0.45899851190476193,0.08206994047619048,18.66443028340942,2,19,43,7,True,True
2021-07-10 06:00:00,2021-07-24 05:00:00,2021,0.5450763364259499,0.5389187576251864,29394.774988103814,53958.76,9989.492975301735,0.1127407738095238,0.3113065476190476,0.2748821428571428,19.524631365681586,20,57,108,8,True,True
2021-10-03 11:00:00,2021-10-17 10:00:00,2021,0.5417634237595493,0.5415523205411226,31169.8449636791,58234.398169778004,10477.150428096209,0.21268660714285717,0.38922172619047624,0.13214166666666666,21.352778564576752,1,10,44,9,True,True
