generator,carrier,bus,pre_overwrite_max_diff,pre_overwrite_mean_abs_diff,post_overwrite_max_diff,warning
DE0 0 0 offwind-dc,offwind-dc,DE0 0,0.1144999999999996,0.07998136215759276,0.0,cutout_core_differs_from_base
DE0 7 0 offwind-dc,offwind-dc,DE0 7,0.1144999999999996,0.07164722942690982,0.0,cutout_core_differs_from_base
DE0 8 0 offwind-dc,offwind-dc,DE0 8,0.11450000000000005,0.06933260240182278,0.0,cutout_core_differs_from_base
DE0 0 0 solar,solar,DE0 0,0.009097769338300931,0.000882993254559618,0.0,cutout_core_differs_from_base
DE0 1 0 solar,solar,DE0 1,0.019415868994473173,0.0015756316691978138,0.0,cutout_core_differs_from_base
DE0 2 0 solar,solar,DE0 2,0.023119212643347264,0.002557105129888853,0.0,cutout_core_differs_from_base
DE0 3 0 solar,solar,DE0 3,0.008760428245865471,0.0008291594349085175,0.0,cutout_core_differs_from_base
DE0 4 0 solar,solar,DE0 4,0.010619122386497482,0.0014945557470932356,0.0,cutout_core_differs_from_base
DE0 5 0 solar,solar,DE0 5,0.00956803488627977,0.0007101064514229297,0.0,cutout_core_differs_from_base
DE0 6 0 solar,solar,DE0 6,0.01250848550879452,0.0015671598392140741,0.0,cutout_core_differs_from_base
DE0 7 0 solar,solar,DE0 7,0.010224099045062255,0.001077333673896928,0.0,cutout_core_differs_from_base
DE0 8 0 solar,solar,DE0 8,0.011176436968756198,0.0013287918769449517,0.0,cutout_core_differs_from_base
DE0 9 0 solar,solar,DE0 9,0.008788442871208535,0.0008083272743544179,0.0,cutout_core_differs_from_base
DE0 0 0 offwind-ac,offwind-ac,DE0 0,0.11450000000000016,0.06626394139463421,0.0,cutout_core_differs_from_base
DE0 7 0 offwind-ac,offwind-ac,DE0 7,0.11449999999999994,0.06967521306674887,0.0,cutout_core_differs_from_base
DE0 8 0 offwind-ac,offwind-ac,DE0 8,0.11450000000000038,0.058911757121372824,0.0,cutout_core_differs_from_base
DE0 0 0 solar-hsat,solar-hsat,DE0 0,0.007180938564447727,0.0007852511275656292,0.0,cutout_core_differs_from_base
DE0 1 0 solar-hsat,solar-hsat,DE0 1,0.01959247255452251,0.0014905880268149471,0.0,cutout_core_differs_from_base
DE0 2 0 solar-hsat,solar-hsat,DE0 2,0.02329462997388254,0.002333910401177394,0.0,cutout_core_differs_from_base
DE0 3 0 solar-hsat,solar-hsat,DE0 3,0.007934116079074759,0.000779503266137771,0.0,cutout_core_differs_from_base
DE0 4 0 solar-hsat,solar-hsat,DE0 4,0.010424686133584327,0.001268183202649552,0.0,cutout_core_differs_from_base
DE0 5 0 solar-hsat,solar-hsat,DE0 5,0.00957943875747217,0.0006372154361950905,0.0,cutout_core_differs_from_base
DE0 6 0 solar-hsat,solar-hsat,DE0 6,0.01164454666251813,0.0012261969028341663,0.0,cutout_core_differs_from_base
DE0 7 0 solar-hsat,solar-hsat,DE0 7,0.008008879524325972,0.0007271750960506435,0.0,cutout_core_differs_from_base
DE0 8 0 solar-hsat,solar-hsat,DE0 8,0.011413594590785281,0.0014701156007697978,0.0,cutout_core_differs_from_base
DE0 9 0 solar-hsat,solar-hsat,DE0 9,0.009366323326682791,0.0010253792604278697,0.0,cutout_core_differs_from_base
DE0 0 0 onwind,onwind,DE0 0,0.01008077060755035,0.0009215339346940469,0.0,cutout_core_differs_from_base
DE0 1 0 onwind,onwind,DE0 1,0.012247271126517134,0.0033145051009272506,0.0,cutout_core_differs_from_base
DE0 2 0 onwind,onwind,DE0 2,0.01035851103784872,0.0017910319876379007,0.0,cutout_core_differs_from_base
DE0 3 0 onwind,onwind,DE0 3,0.009647705566516951,0.0017747290234052095,0.0,cutout_core_differs_from_base
DE0 4 0 onwind,onwind,DE0 4,0.008190542721710048,0.0017685690153352233,0.0,cutout_core_differs_from_base
DE0 5 0 onwind,onwind,DE0 5,0.006680690829787597,0.0012411075741129568,0.0,cutout_core_differs_from_base
DE0 6 0 onwind,onwind,DE0 6,0.011545534744068725,0.0023976739320006285,0.0,cutout_core_differs_from_base
DE0 7 0 onwind,onwind,DE0 7,0.013325992878595205,0.0032270783168936545,0.0,cutout_core_differs_from_base
DE0 8 0 onwind,onwind,DE0 8,0.009711821867732071,0.001309260093859517,0.0,cutout_core_differs_from_base
DE0 9 0 onwind,onwind,DE0 9,0.010644097031583179,0.0011244758590696585,0.0,cutout_core_differs_from_base
DE0 0 0 offwind-float,offwind-float,DE0 0,0.11449539864645686,0.050474566780799854,0.0,cutout_core_differs_from_base
DE0 7 0 offwind-float,offwind-float,DE0 7,0.11450000000000093,0.06270582134688717,0.0,cutout_core_differs_from_base
DE0 8 0 offwind-float,offwind-float,DE0 8,0.11449616057741274,0.04746186456543065,0.0,cutout_core_differs_from_base
