scope,carrier_group,scenario,base_energy_gwh,scenario_energy_gwh,energy_ratio
full-window,onshore,moderate,15717.579919531388,12043.38720507289,0.7662367404352894
full-window,onshore,severe,15717.579919531388,11195.496578659386,0.7122913728434329
full-window,onshore,extreme,15717.579919531388,10630.236161050387,0.676327794448862
full-window,offshore,moderate,4613.482143967637,3590.7667943877877,0.7783202974098206
full-window,offshore,severe,4613.482143967637,3335.0879569928256,0.7229003717622757
full-window,offshore,extreme,4613.482143967637,3164.635398729518,0.6859537546639126
full-window,solar,moderate,1658.7773752950634,1223.4744259176878,0.737576026861384
full-window,solar,severe,1658.7773752950634,1130.1952224796787,0.6813423183316806
full-window,solar,extreme,1658.7773752950634,1099.102154667009,0.6625977488217795
full-window,total_vre,moderate,21989.83943879409,16857.628425378367,0.7666098914591634
full-window,total_vre,severe,21989.83943879409,15660.77975813189,0.7121825423837982
full-window,total_vre,extreme,21989.83943879409,14893.973714446915,0.6773116172995437
