generator,carrier,bus,plot_file
DE0 0 0 offwind-ac,offwind-ac,DE0 0,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_0_0_offwind-ac.png
DE0 7 0 offwind-ac,offwind-ac,DE0 7,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_7_0_offwind-ac.png
DE0 8 0 offwind-ac,offwind-ac,DE0 8,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_8_0_offwind-ac.png
DE0 0 0 offwind-float,offwind-float,DE0 0,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_0_0_offwind-float.png
DE0 7 0 offwind-float,offwind-float,DE0 7,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_7_0_offwind-float.png
DE0 8 0 offwind-float,offwind-float,DE0 8,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_8_0_offwind-float.png
DE0 0 0 offwind-dc,offwind-dc,DE0 0,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_0_0_offwind-dc.png
DE0 7 0 offwind-dc,offwind-dc,DE0 7,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_7_0_offwind-dc.png
DE0 8 0 offwind-dc,offwind-dc,DE0 8,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_8_0_offwind-dc.png
DE0 0 0 onwind,onwind,DE0 0,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_0_0_onwind.png
DE0 1 0 onwind,onwind,DE0 1,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_1_0_onwind.png
DE0 2 0 onwind,onwind,DE0 2,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/output/stylised_dunkelflaute_v4/plots/generators/DE0_2_0_onwind.png
