scenario,scope,carrier,capacity_gw,mean_cf,min_cf,max_cf,available_energy_gwh
matched-base,pre-buffer,onwind,73.3320659,0.5068657314696019,0.002725827222071689,0.9999999685828747,6244.477885393533
matched-base,pre-buffer,offwind-ac,11.163743,0.7700129660768946,0.0004694256963696892,1.0,1444.1661124716288
matched-base,pre-buffer,offwind-dc,0.0,,3.5743140089344374e-05,1.0,0.0
matched-base,pre-buffer,offwind-float,0.0,,0.013507809225820996,1.0,0.0
matched-base,pre-buffer,solar,48.77125402000001,0.03797981821215831,0.0,0.363304476210175,311.190324758644
matched-base,pre-buffer,solar-hsat,0.0,,0.0,0.34287291684883153,0.0
matched-base,transition-in,onwind,73.3320659,0.1864386941335717,0.0,0.8714280880342451,656.252861016625
matched-base,transition-in,offwind-ac,11.163743,0.29371671591814735,0.0363211483184611,0.7374858549734181,157.3909407030819
matched-base,transition-in,offwind-dc,0.0,,0.0,0.88462966251375,0.0
matched-base,transition-in,offwind-float,0.0,,0.02212654913720688,0.4785293588763624,0.0
matched-base,transition-in,solar,48.77125402000001,0.04374350050790126,0.0,0.44289742676150423,102.4044179997529
matched-base,transition-in,solar-hsat,0.0,,0.0,0.42862555297895016,0.0
matched-base,plateau,onwind,73.3320659,0.23382254420750725,0.0,0.9796300723294338,4115.20565297534
matched-base,plateau,offwind-ac,11.163743,0.5107324198311198,0.0,0.8854997620753472,1368.404514423054
matched-base,plateau,offwind-dc,0.0,,0.0,0.8855000000000004,0.0
matched-base,plateau,offwind-float,0.0,,0.0,0.8854400170133355,0.0
matched-base,plateau,solar,48.77125402000001,0.046215291265568156,0.0,0.5742488914060103,540.9546503811148
matched-base,plateau,solar-hsat,0.0,,0.0,0.5575467067134854,0.0
matched-base,transition-out,onwind,73.3320659,0.6692841113884178,0.026239806646348725,0.9964763867697773,2355.8393549836032
matched-base,transition-out,offwind-ac,11.163743,0.8833941029481869,0.8256036846573268,0.8855000000000001,473.375267185397
matched-base,transition-out,offwind-dc,0.0,,0.8720165186010368,0.8855000000000004,0.0
matched-base,transition-out,offwind-float,0.0,,0.64118225218375,0.8854999999999991,0.0
matched-base,transition-out,solar,48.77125402000001,0.026165580854770703,0.0,0.2330106240165437,61.2541531415458
matched-base,transition-out,solar-hsat,0.0,,0.0,0.22657818801803895,0.0
matched-base,core,onwind,73.3320659,0.28926221807993224,0.0,0.9964763867697773,7127.297868975568
matched-base,core,offwind-ac,11.163743,0.532967559717419,0.0,0.8855000000000001,1999.1707223115332
matched-base,core,offwind-dc,0.0,,0.0,0.8855000000000004,0.0
matched-base,core,offwind-float,0.0,,0.0,0.8854999999999991,0.0
matched-base,core,solar,48.77125402000001,0.042997933955787535,0.0,0.5742488914060103,704.6132215224136
matched-base,core,solar-hsat,0.0,,0.0,0.5575467067134854,0.0
matched-base,post-buffer,onwind,73.3320659,0.19040947311874254,3.781296172976627e-05,0.9469742127216686,2345.804165162288
matched-base,post-buffer,offwind-ac,11.163743,0.6239081865202012,0.0030317440147045564,1.0,1170.1453091844755
matched-base,post-buffer,offwind-dc,0.0,,0.0,1.0,0.0
matched-base,post-buffer,offwind-float,0.0,,0.005613670813518482,0.9999759859411101,0.0
matched-base,post-buffer,solar,48.77125402000001,0.07847297039221,0.0,0.6755103859936892,642.9738290140056
matched-base,post-buffer,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
matched-base,full-window,onwind,73.3320659,0.31894991018705227,0.0,0.9999999685828747,15717.57991953139
matched-base,full-window,offwind-ac,11.163743,0.6149640680079835,0.0,1.0,4613.482143967636
matched-base,full-window,offwind-dc,0.0,,0.0,1.0,0.0
matched-base,full-window,offwind-float,0.0,,0.0,1.0,0.0
matched-base,full-window,solar,48.77125402000001,0.05061216412898585,0.0,0.6755103859936892,1658.7773752950632
matched-base,full-window,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
moderate,pre-buffer,onwind,73.3320659,0.5068657314696019,0.002725827222071689,0.9999999685828747,6244.477885393533
moderate,pre-buffer,offwind-ac,11.163743,0.7700129660768946,0.0004694256963696892,1.0,1444.1661124716288
moderate,pre-buffer,offwind-dc,0.0,,3.5743140089344374e-05,1.0,0.0
moderate,pre-buffer,offwind-float,0.0,,0.013507809225820996,1.0,0.0
moderate,pre-buffer,solar,48.77125402000001,0.03797981821215831,0.0,0.363304476210175,311.190324758644
moderate,pre-buffer,solar-hsat,0.0,,0.0,0.34287291684883153,0.0
moderate,transition-in,onwind,73.3320659,0.1104579827711365,0.0,0.5036713431239174,388.8053794441942
moderate,transition-in,offwind-ac,11.163743,0.19844473826510178,0.025424803822922774,0.540872046505794,106.33853076930538
moderate,transition-in,offwind-dc,0.0,,0.0,0.57523067778203,0.0
moderate,transition-in,offwind-float,0.0,,0.02212654913720688,0.256984438365273,0.0
moderate,transition-in,solar,48.77125402000001,0.031161469411358292,0.0,0.4167728404966917,72.94962913429514
moderate,transition-in,solar-hsat,0.0,,0.0,0.40334280226174773,0.0
moderate,plateau,onwind,73.3320659,0.08183789047262753,0.0,0.3428705253153018,1440.321978541369
moderate,plateau,offwind-ac,11.163743,0.20429296793244797,0.0,0.3541999048301389,547.3618057692217
moderate,plateau,offwind-dc,0.0,,0.0,0.3542000000000002,0.0
moderate,plateau,offwind-float,0.0,,0.0,0.35417600680533423,0.0
moderate,plateau,solar,48.77125402000001,0.013864587379670449,0.0,0.1722746674218031,162.28639511433448
moderate,plateau,solar-hsat,0.0,,0.0,0.16726401201404564,0.0
moderate,transition-out,onwind,73.3320659,0.46136530242049256,0.011681707290871859,0.9693799636385184,1623.9777965315036
moderate,transition-out,offwind-ac,11.163743,0.6023126162993988,0.33024147386293073,0.8803956097391182,322.75503619315685
moderate,transition-out,offwind-dc,0.0,,0.35193715537252723,0.8803956097391186,0.0
moderate,transition-out,offwind-float,0.0,,0.2564729008735,0.8803843231799444,0.0
moderate,transition-out,solar,48.77125402000001,0.014555298582591445,0.0,0.1102238608108218,34.07424789640864
moderate,transition-out,solar-hsat,0.0,,0.0,0.10690039023731347,0.0
moderate,core,onwind,73.3320659,0.1401446767935381,0.0,0.9693799636385184,3453.1051545170667
moderate,core,offwind-ac,11.163743,0.26031745631810577,0.0,0.8803956097391182,976.4553727316838
moderate,core,offwind-dc,0.0,,0.0,0.8803956097391186,0.0
moderate,core,offwind-float,0.0,,0.0,0.8803843231799444,0.0
moderate,core,solar,48.77125402000001,0.01643424355604314,0.0,0.4167728404966917,269.3102721450383
moderate,core,solar-hsat,0.0,,0.0,0.40334280226174773,0.0
moderate,post-buffer,onwind,73.3320659,0.19040947311874254,3.781296172976627e-05,0.9469742127216686,2345.804165162288
moderate,post-buffer,offwind-ac,11.163743,0.6239081865202012,0.0030317440147045564,1.0,1170.1453091844755
moderate,post-buffer,offwind-dc,0.0,,0.0,1.0,0.0
moderate,post-buffer,offwind-float,0.0,,0.005613670813518482,0.9999759859411101,0.0
