technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing_losses,temperature difference,wood-input,yield-biochar,capital_cost,marginal_cost
Alkaline electrolyzer large size,,,,0.0,,2.8,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,544776.4,40.0,,,,,,,,,,,,,0.0,,,,2152.4308761570323,0.3033
Alkaline electrolyzer medium size,,,,0.0,,2.3,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.416,,0.0,,,,,,642553.0,20.0,,,,,,,,,,,,,0.0,,,,2893.250609894483,0.3033
Alkaline electrolyzer small size,,,,0.0,,2.3,,,0.2455,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.41,,0.0,,,,,,740185.2999999999,20.0,,,,,,,,,,,,,0.0,,,,3332.8637025427174,0.2455
Ammonia cracker,,,,0.0,,4.3,,,0.0,1.46,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,704759.3279,25.0,,,,,,,,,,,,,0.0,,,,3481.9884646587057,0.0
BEV Bus city,,,,0.0,,0.0003,450.0,,0.1197,,,,,,,,,,,,,,0.07,,,,0.6107,,,,,,,,,0.0,,,,,,239610.8371,12.0,,,,,,,,,,,,,0.0,,,,1157.13642787325,0.1197
BEV Coach,,,,0.0,,0.0002,600.0,,0.1197,,,,,,,,,,,,,,0.07,,,,0.5852,,,,,,,,,0.0,,,,,,340876.3189,12.0,,,,,,,,,,,,,0.0,,,,1646.1579030841374,0.1197
BEV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,900.0,,0.1197,,,,,,,,,,,,,,0.07,,,,1.0768,,,,,,,,,0.0,,,,,,190126.4629,10.5,,,,,,,,,,,,,0.0,,,,1003.7973384389131,0.1197
BEV Truck Solo max 26 tons,,,,0.0,,0.0004,500.0,,0.1197,,,,,,,,,,,,,,0.07,,,,0.6872,,,,,,,,,0.0,,,,,,198055.1412,13.8,,,,,,,,,,,,,0.0,,,,876.2293358007088,0.1197
BEV Truck Trailer max 56 tons,,,,0.0,,0.0003,1200.0,,0.1197,,,,,,,,,,,,,,0.07,,,,1.2019,,,,,,,,,0.0,,,,,,210883.6844,13.8,,,,,,,,,,,,,0.0,,,,932.9768850581287,0.1197
Battery electric (passenger cars),,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,0.0,,,,,,29624.0605,15.0,,,,,,,,,,,,,0.0,,,,134.98221394258562,0.0
Battery electric (trucks),,,,0.0,,16.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,162699.0974,15.0,,,,,,,,,,,,,0.0,,,,1683.656950441526,0.0
BioSNG,,0.378,0.622,0.0,0.2281,1.6067,,,2.1393,,,,,0.9,,,,,,,,,0.07,,,,0.7,,,,,,,,,0.0,,,,,,2005574.4,25.0,,,,,,,,,,,,,0.0,,,,7837.044292127576,2.1393
BtL,,0.3156,0.6844,0.0,0.251,3.0,,,1.4207,,,,,0.9,,,,,,,,,0.07,,,,0.45,,,,,,,,,0.0,,,,,,2619090.8,25.0,,,,,,,,,,,,,0.0,,,,11634.125048609358,1.4207
CCGT,,,,0.198,,3.25,,,5.3432,,2.2,0.15,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,22.7578,,,,,,1068642.5,25.0,,,,,,,,,,,,,0.0,,,,4849.433031741896,43.27286666666667
CH4 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2080.8385,20.0,,,,,,,,,,,,,0.0,,,,8.890601751229877,0.0
CH4 (g) pipeline,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,109.6647,50.0,,,,,,,,,,,,,0.0,,,,0.3678838746994164,0.0
CH4 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,150.6153,30.0,,,,,,,,,,,,,0.0,,,,0.6388604404670107,0.0
