,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
CCGT,901.1232535439775,1080.9820458892873,1074.2284224284992,1079.116308507184,1080.6359184119956
OCGT,9.913960282851779,0.17346284297615555,1.929388428430385,0.15934782957033203,0.24214170360004345
biomass,0.0,0.0,0.0,0.0,0.0
coal,108.45452113782106,0.0010287537342289006,0.013823507511510541,0.0009728725661571897,0.0014746670263035108
geothermal,0.8437748645123697,1.0844819400243242,0.9910925100147363,1.0637056924533723,1.0524858643530752
lignite,0.00046921322297933,0.000163227017588205,0.0021755666978697,0.00015391288668731683,0.0002336886787027578
nuclear-lfr,0.0,0.0,0.0,0.0,0.0
nuclear-msr,0.0,0.0,0.0,0.0,0.0
nuclear-smr,0.0,0.0,0.0,0.0,0.0
offwind-ac,0.0,0.0,0.0,0.0,0.0
offwind-dc,0.0,0.0,0.0,0.0,0.0
offwind-float,0.0,0.0,0.0,0.0,0.0
oil,0.0001700395088554354,0.00022270175660015566,0.0029329925919863494,0.0002084005067012268,0.00031634842917001375
onwind,0.0,0.0,0.0,0.0,0.0
solar,0.0,0.0,0.0,0.0,0.0
solar-hsat,0.0,0.0,0.0,0.0,0.0
waste,0.000508458702907434,0.00017822396066549242,0.0023912675587796557,0.00016824725668995505,0.00025523121921486227
