,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
Wind (all),13.63033496107,9.29093096472,7.99099639557,8.4022027617,8.392541695519999
Solar (all),0.70330820472,3.7839008482099996,2.82072127473,3.31434804974,3.3131491521500003
Combined-Cycle Gas,4.551127543150001,5.45950528227,5.42539607287,5.4500823662,5.4577571637
LFR,0.0,0.0,0.0,0.0,1.36079945827
MSR,0.0,0.0,0.0,1.3607996501100001,0.0
Open-Cycle Gas,0.05007050648,0.0008760749600000001,0.009744386,0.00080478702,0.0012229379
SMR,0.0,0.0,2.26799152244,0.0,0.0
biomass,1.94221794056,2.69471935927,2.69470318982,2.6947194154300003,2.69471876734
coal,0.32268527563,3.06086e-06,4.112915e-05,2.89459e-06,4.38758e-06
geothermal,0.0070314572,0.0090373495,0.00825910425,0.0088642141,0.00877071554
lignite,1.15314e-06,4.0115e-07,5.34669e-06,3.7826e-07,5.7431e-07
oil,6.6137e-07,8.6621e-07,1.140798e-05,8.1058e-07,1.23045e-06
waste,1.97767e-06,6.932099999999999e-07,9.300919999999999e-06,6.543999999999999e-07,9.9273e-07
