carrier,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
Combined-Cycle Gas,4.551127543150001,5.45950528227,5.42539607287,5.4500823662,5.4577571637
LFR,0.0,0.0,0.0,0.0,1.36079945827
MSR,0.0,0.0,0.0,1.3607996501100001,0.0
Offshore Wind (AC),1.45369915189,0.36376745088,0.36376303728,0.36376740166,0.36376723784000004
Offshore Wind (DC),1.040897e-05,0.70794293564,0.010060624669999999,0.01004168246,0.010044080379999999
Offshore Wind (Floating),5.194e-07,1.00723e-06,9.290919999999999e-06,7.7674e-07,1.1982800000000001e-06
Onshore Wind,12.17662488081,8.219219570969999,7.6171634427,8.02839290084,8.01872917902
Open-Cycle Gas,0.05007050648,0.0008760749600000001,0.009744386,0.00080478702,0.0012229379
SMR,0.0,0.0,2.26799152244,0.0,0.0
Solar,0.7033071957,3.7838983410899996,2.82069186315,3.31434582283,3.31314573773
biomass,1.94221794056,2.69471935927,2.69470318982,2.6947194154300003,2.69471876734
coal,0.32268527563,3.06086e-06,4.112915e-05,2.89459e-06,4.38758e-06
geothermal,0.0070314572,0.0090373495,0.00825910425,0.0088642141,0.00877071554
lignite,1.15314e-06,4.0115e-07,5.34669e-06,3.7826e-07,5.7431e-07
oil,6.6137e-07,8.6621e-07,1.140798e-05,8.1058e-07,1.23045e-06
solar-hsat,1.0090200000000001e-06,2.50712e-06,2.941158e-05,2.22691e-06,3.41442e-06
waste,1.97767e-06,6.932099999999999e-07,9.300919999999999e-06,6.543999999999999e-07,9.9273e-07
