carrier,matched-reference,historical-severe,extreme-stress,legacy-2021-base,legacy-synthetic-df
AC,183.93788451999998,183.93788451999998,183.93788451999998,184.98927888999998,185.04620852
Battery Storage,0.0,0.0,0.0,35.414559589999996,413.47851549999996
Combined-Cycle Gas,30.78312833,30.78312833,30.78312833,30.783128519999998,36.94648042
DC,0.0,0.0,0.0,0.00010748000000000001,0.00052259
H2 Electrolysis,0.0,0.0,0.0,4.322e-05,0.00013880999999999998
H2 Fuel Cell,0.0,0.0,0.0,2.35e-05,1.282e-05
Hydrogen Storage,0.0,0.0,0.0,0.03762996,0.2043792
Offshore Wind (AC),11.163743,11.163743,11.163743,11.16374308,11.53895982
Offshore Wind (DC),0.0,0.0,0.0,6.024e-05,21.60550193
Offshore Wind (Floating),0.0,0.0,0.0,5.760000000000001e-06,4.862e-05
Onshore Wind,73.3320659,73.3320659,73.3320659,130.97342351999998,488.21978141
Open-Cycle Gas,6.11274372,6.11274372,6.11274372,6.11274372,6.11274372
Solar,48.77125402,48.77125402,48.77125402,48.77125695,915.6584836000001
battery charger,0.0,0.0,0.0,5.77742532,27.548969980000003
battery discharger,0.0,0.0,0.0,5.89656003,28.11704974
biomass,8.02000183,8.02000183,8.02000183,8.02000183,8.02000183
coal,20.351945,20.351945,20.351945,20.351945,20.351945
geothermal,0.0269,0.0269,0.0269,0.0269,0.0269
lignite,19.457035,19.457035,19.457035,19.457035,19.457035
load_shed,30000.0,30000.0,30000.0,0.0,0.0
oil,5.68434599,5.68434599,5.68434599,5.68434599,5.68434599
solar-hsat,0.0,0.0,0.0,8.591e-05,0.00067691
waste,3.127659,3.127659,3.127659,3.127659,3.127659
