,matched-reference,historical-severe,extreme-stress,legacy-2021-base,legacy-synthetic-df
CCGT,1080.0894336856788,1079.26075106922,370.43198436081497,901.1232535439775,1080.9820458892873
OCGT,0.0,0.0,0.42479625612740146,9.913960282851779,0.17346284297615555
biomass,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,438.98555516743926,108.45452113782106,0.0010287537342289006
geothermal,1.0846080000000002,0.958716,0.43577999999999995,0.8437748645123697,1.0844819400243242
lignite,0.0,0.0,0.22633812500000003,0.00046921322297933,0.000163227017588205
load_shed,0.0,0.0,0.0,0.0,0.0
offwind-ac,0.0,0.0,0.0,0.0,0.0
offwind-dc,0.0,0.0,0.0,0.0,0.0
offwind-float,0.0,0.0,0.0,0.0,0.0
oil,0.0,0.0,0.0,0.0001700395088554354,0.00022270175660015566
onwind,0.0,0.0,0.0,0.0,0.0
solar,0.0,0.0,0.0,0.0,0.0
solar-hsat,0.0,0.0,0.0,0.0,0.0
waste,0.0,0.0,54.62112762470753,0.000508458702907434,0.00017822396066549242
