,matched-reference,historical-severe,extreme-stress,legacy-2021-base,legacy-synthetic-df
Wind (all),1.79810952525,8.81211165472,16.23042670832,13.63033496107,9.29093096472
Solar (all),0.14732332702,0.70461322152,2.3838105820399997,0.70330820472,3.7839008482099996
Combined-Cycle Gas,3.0197465267699997,3.01742967098,1.03566488412,4.551127543150001,5.45950528227
Open-Cycle Gas,0.0,0.0,0.00084873434,0.05007050648,0.0008760749600000001
biomass,2.69472061589,2.4204236184999997,0.6938089887200001,1.94221794056,2.69471935927
coal,0.0,0.0,0.59101744634,0.32268527563,3.06086e-06
geothermal,0.0090384,0.0079893,0.0036315,0.0070314572,0.0090373495
lignite,0.0,0.0,0.0002136,1.15314e-06,4.0115e-07
load_shed,13.482934953740001,6.18930588294,0.0,0.0,0.0
oil,0.0,0.0,0.0,6.6137e-07,8.6621e-07
waste,0.0,0.0,0.21245090479999998,1.97767e-06,6.932099999999999e-07
