carrier,matched-reference,historical-severe,extreme-stress,legacy-2021-base,legacy-synthetic-df
Combined-Cycle Gas,3.0197465267699997,3.01742967098,1.03566488412,4.551127543150001,5.45950528227
Offshore Wind (AC),0.29740546264,1.8873221848200001,1.67375726654,1.45369915189,0.36376745088
Offshore Wind (DC),0.0,0.0,0.0,1.040897e-05,0.70794293564
Offshore Wind (Floating),0.0,0.0,0.0,5.194e-07,1.00723e-06
Onshore Wind,1.50070406261,6.9247894699,14.55666944178,12.17662488081,8.219219570969999
Open-Cycle Gas,0.0,0.0,0.00084873434,0.05007050648,0.0008760749600000001
Solar,0.14732332702,0.70461322152,2.3838105820399997,0.7033071957,3.7838983410899996
biomass,2.69472061589,2.4204236184999997,0.6938089887200001,1.94221794056,2.69471935927
coal,0.0,0.0,0.59101744634,0.32268527563,3.06086e-06
geothermal,0.0090384,0.0079893,0.0036315,0.0070314572,0.0090373495
lignite,0.0,0.0,0.0002136,1.15314e-06,4.0115e-07
load_shed,13.482934953740001,6.18930588294,0.0,0.0,0.0
oil,0.0,0.0,0.0,6.6137e-07,8.6621e-07
solar-hsat,0.0,0.0,0.0,1.0090200000000001e-06,2.50712e-06
waste,0.0,0.0,0.21245090479999998,1.97767e-06,6.932099999999999e-07
