carrier,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
AC,184.98927888999998,185.04620852,184.68992144,185.11715715000003,184.82705939000002
Battery Storage,35.414559589999996,413.47851549999996,339.51694914000007,426.75731890000003,426.12839113999996
Combined-Cycle Gas,30.783128519999998,36.94648042,35.23217363,35.81820944,36.63492305
DC,0.00010748000000000001,0.00052259,0.006193430000000001,0.00045783,0.00071809
H2 Electrolysis,4.322e-05,0.00013880999999999998,0.00179466,0.00012917,0.00020212
H2 Fuel Cell,2.35e-05,1.282e-05,0.00017219999999999998,1.217e-05,1.867e-05
Hydrogen Storage,0.03762996,0.2043792,2.46811439,0.18261614,0.27996773
LFR,0.0,0.0,0.0,0.0,4.499999979999999
MSR,0.0,0.0,0.0,4.49999999,0.0
Offshore Wind (AC),11.16374308,11.53895982,11.538951520000001,11.53895739,11.53895757
Offshore Wind (DC),6.024e-05,21.60550193,0.27144504999999997,0.27074781000000003,0.27082633
Offshore Wind (Floating),5.760000000000001e-06,4.862e-05,0.00047711,3.876e-05,5.973e-05
Onshore Wind,130.97342351999998,488.21978141,444.63564613,474.40513248999997,473.70557728
Open-Cycle Gas,6.11274372,6.11274372,6.11274372,6.11274372,6.11274372
SMR,0.0,0.0,7.49999975,0.0,0.0
Solar,48.77125695,915.6584836000001,642.82223879,779.83860018,779.49356923
battery charger,5.77742532,27.548969980000003,24.87025189,30.086049159999998,30.62455483
battery discharger,5.89656003,28.11704974,25.38309454,30.70644534,31.25605539
biomass,8.02000183,8.02000183,8.02000183,8.02000183,8.02000183
coal,20.351945,20.351945,20.351945,20.351945,20.351945
geothermal,0.0269,0.0269,0.0269,0.0269,0.0269
lignite,19.457035,19.457035,19.457035,19.457035,19.457035
oil,5.68434599,5.68434599,5.68434599,5.68434599,5.68434599
solar-hsat,8.591e-05,0.00067691,0.00790285,0.00060005,0.0009204599999999999
waste,3.127659,3.127659,3.127659,3.127659,3.127659
