scenario,carrier,generation_twh
stylised-df-severe-v4,CCGT,2.2962
stylised-df-severe-v4,biomass,2.5113
stylised-df-severe-v4,lignite,5.7584
stylised-df-severe-v4,oil,0.0
stylised-df-severe-v4,waste,0.7236
stylised-df-severe-v4,geothermal,0.009
stylised-df-severe-v4,coal,6.3612
stylised-df-severe-v4,OCGT,0.0
stylised-df-severe-v4,offwind-dc,0.0
stylised-df-severe-v4,solar,0.176
stylised-df-severe-v4,offwind-ac,0.7208
stylised-df-severe-v4,solar-hsat,0.0
stylised-df-severe-v4,onwind,2.5954
stylised-df-severe-v4,offwind-float,0.0
stylised-df-severe-v4,load_shed,0.0
stylised-df-severe-nuc-1.5-v4,CCGT,2.019
stylised-df-severe-nuc-1.5-v4,biomass,2.5054
stylised-df-severe-nuc-1.5-v4,lignite,5.6721
stylised-df-severe-nuc-1.5-v4,oil,0.0
stylised-df-severe-nuc-1.5-v4,waste,0.6701
stylised-df-severe-nuc-1.5-v4,geothermal,0.009
stylised-df-severe-nuc-1.5-v4,coal,6.3442
stylised-df-severe-nuc-1.5-v4,OCGT,0.0
stylised-df-severe-nuc-1.5-v4,offwind-dc,0.0
stylised-df-severe-nuc-1.5-v4,solar,0.176
stylised-df-severe-nuc-1.5-v4,offwind-ac,0.7208
stylised-df-severe-nuc-1.5-v4,solar-hsat,0.0
stylised-df-severe-nuc-1.5-v4,onwind,2.5954
stylised-df-severe-nuc-1.5-v4,offwind-float,0.0
stylised-df-severe-nuc-1.5-v4,generic-advanced-nuclear,0.44
stylised-df-severe-nuc-1.5-v4,load_shed,0.0
stylised-df-severe-nuc-3.0-v4,CCGT,1.7618
stylised-df-severe-nuc-3.0-v4,biomass,2.5022
stylised-df-severe-nuc-3.0-v4,lignite,5.5597
stylised-df-severe-nuc-3.0-v4,oil,0.0
stylised-df-severe-nuc-3.0-v4,waste,0.6257
stylised-df-severe-nuc-3.0-v4,geothermal,0.009
stylised-df-severe-nuc-3.0-v4,coal,6.3275
stylised-df-severe-nuc-3.0-v4,OCGT,0.0
stylised-df-severe-nuc-3.0-v4,offwind-dc,0.0
stylised-df-severe-nuc-3.0-v4,solar,0.176
stylised-df-severe-nuc-3.0-v4,offwind-ac,0.7208
stylised-df-severe-nuc-3.0-v4,solar-hsat,0.0
stylised-df-severe-nuc-3.0-v4,onwind,2.5954
stylised-df-severe-nuc-3.0-v4,offwind-float,0.0
stylised-df-severe-nuc-3.0-v4,generic-advanced-nuclear,0.8737
stylised-df-severe-nuc-3.0-v4,load_shed,0.0
stylised-df-severe-nuc-4.5-v4,CCGT,1.5143
stylised-df-severe-nuc-4.5-v4,biomass,2.4991
stylised-df-severe-nuc-4.5-v4,lignite,5.4302
stylised-df-severe-nuc-4.5-v4,oil,0.0
stylised-df-severe-nuc-4.5-v4,waste,0.5896
stylised-df-severe-nuc-4.5-v4,geothermal,0.009
stylised-df-severe-nuc-4.5-v4,coal,6.3132
stylised-df-severe-nuc-4.5-v4,OCGT,0.0
stylised-df-severe-nuc-4.5-v4,offwind-dc,0.0
stylised-df-severe-nuc-4.5-v4,solar,0.176
stylised-df-severe-nuc-4.5-v4,offwind-ac,0.7208
stylised-df-severe-nuc-4.5-v4,solar-hsat,0.0
stylised-df-severe-nuc-4.5-v4,onwind,2.5954
stylised-df-severe-nuc-4.5-v4,offwind-float,0.0
stylised-df-severe-nuc-4.5-v4,generic-advanced-nuclear,1.3043
stylised-df-severe-nuc-4.5-v4,load_shed,0.0
stylised-df-severe-nuc-7.5-v4,CCGT,1.0748
stylised-df-severe-nuc-7.5-v4,biomass,2.4987
stylised-df-severe-nuc-7.5-v4,lignite,5.1175
stylised-df-severe-nuc-7.5-v4,oil,0.0
stylised-df-severe-nuc-7.5-v4,waste,0.5157
stylised-df-severe-nuc-7.5-v4,geothermal,0.009
stylised-df-severe-nuc-7.5-v4,coal,6.2891
stylised-df-severe-nuc-7.5-v4,OCGT,0.0
stylised-df-severe-nuc-7.5-v4,offwind-dc,0.0
stylised-df-severe-nuc-7.5-v4,solar,0.176
stylised-df-severe-nuc-7.5-v4,offwind-ac,0.7208
stylised-df-severe-nuc-7.5-v4,solar-hsat,0.0
stylised-df-severe-nuc-7.5-v4,onwind,2.5954
stylised-df-severe-nuc-7.5-v4,offwind-float,0.0
stylised-df-severe-nuc-7.5-v4,generic-advanced-nuclear,2.1548
stylised-df-severe-nuc-7.5-v4,load_shed,0.0
