scenario,carrier,generation_twh
stylised-df-severe-v4,CCGT,2.4625
stylised-df-severe-v4,biomass,4.602
stylised-df-severe-v4,lignite,8.391
stylised-df-severe-v4,oil,0.0
stylised-df-severe-v4,waste,0.8645
stylised-df-severe-v4,geothermal,0.0181
stylised-df-severe-v4,coal,11.3023
stylised-df-severe-v4,OCGT,0.0
stylised-df-severe-v4,offwind-dc,0.0
stylised-df-severe-v4,solar,1.1108
stylised-df-severe-v4,offwind-ac,3.3351
stylised-df-severe-v4,solar-hsat,0.0
stylised-df-severe-v4,onwind,10.6557
stylised-df-severe-v4,offwind-float,0.0
stylised-df-severe-v4,load_shed,0.0
stylised-df-severe-nuc-1.5-v4,CCGT,2.1421
stylised-df-severe-nuc-1.5-v4,biomass,4.5644
stylised-df-severe-nuc-1.5-v4,lignite,8.0953
stylised-df-severe-nuc-1.5-v4,oil,0.0
stylised-df-severe-nuc-1.5-v4,waste,0.7809
stylised-df-severe-nuc-1.5-v4,geothermal,0.0181
stylised-df-severe-nuc-1.5-v4,coal,11.2108
stylised-df-severe-nuc-1.5-v4,OCGT,0.0
stylised-df-severe-nuc-1.5-v4,offwind-dc,0.0
stylised-df-severe-nuc-1.5-v4,solar,1.1108
stylised-df-severe-nuc-1.5-v4,offwind-ac,3.3351
stylised-df-severe-nuc-1.5-v4,solar-hsat,0.0
stylised-df-severe-nuc-1.5-v4,onwind,10.6557
stylised-df-severe-nuc-1.5-v4,offwind-float,0.0
stylised-df-severe-nuc-1.5-v4,generic-advanced-nuclear,0.8288
stylised-df-severe-nuc-1.5-v4,load_shed,0.0
stylised-df-severe-nuc-3.0-v4,CCGT,1.8548
stylised-df-severe-nuc-3.0-v4,biomass,4.5271
stylised-df-severe-nuc-3.0-v4,lignite,7.7649
stylised-df-severe-nuc-3.0-v4,oil,0.0
stylised-df-severe-nuc-3.0-v4,waste,0.7098
stylised-df-severe-nuc-3.0-v4,geothermal,0.0181
stylised-df-severe-nuc-3.0-v4,coal,11.1159
stylised-df-severe-nuc-3.0-v4,OCGT,0.0
stylised-df-severe-nuc-3.0-v4,offwind-dc,0.0
stylised-df-severe-nuc-3.0-v4,solar,1.1108
stylised-df-severe-nuc-3.0-v4,offwind-ac,3.3351
stylised-df-severe-nuc-3.0-v4,solar-hsat,0.0
stylised-df-severe-nuc-3.0-v4,onwind,10.6557
stylised-df-severe-nuc-3.0-v4,offwind-float,0.0
stylised-df-severe-nuc-3.0-v4,generic-advanced-nuclear,1.6498
stylised-df-severe-nuc-3.0-v4,load_shed,0.0
stylised-df-severe-nuc-4.5-v4,CCGT,1.5829
stylised-df-severe-nuc-4.5-v4,biomass,4.4927
stylised-df-severe-nuc-4.5-v4,lignite,7.4218
stylised-df-severe-nuc-4.5-v4,oil,0.0
stylised-df-severe-nuc-4.5-v4,waste,0.6541
stylised-df-severe-nuc-4.5-v4,geothermal,0.0181
stylised-df-severe-nuc-4.5-v4,coal,11.008
stylised-df-severe-nuc-4.5-v4,OCGT,0.0
stylised-df-severe-nuc-4.5-v4,offwind-dc,0.0
stylised-df-severe-nuc-4.5-v4,solar,1.1108
stylised-df-severe-nuc-4.5-v4,offwind-ac,3.3351
stylised-df-severe-nuc-4.5-v4,solar-hsat,0.0
stylised-df-severe-nuc-4.5-v4,onwind,10.6557
stylised-df-severe-nuc-4.5-v4,offwind-float,0.0
stylised-df-severe-nuc-4.5-v4,generic-advanced-nuclear,2.4629
stylised-df-severe-nuc-4.5-v4,load_shed,0.0
stylised-df-severe-nuc-7.5-v4,CCGT,1.0999
stylised-df-severe-nuc-7.5-v4,biomass,4.4454
stylised-df-severe-nuc-7.5-v4,lignite,6.7045
stylised-df-severe-nuc-7.5-v4,oil,0.0
stylised-df-severe-nuc-7.5-v4,waste,0.5669
stylised-df-severe-nuc-7.5-v4,geothermal,0.0181
stylised-df-severe-nuc-7.5-v4,coal,10.7533
stylised-df-severe-nuc-7.5-v4,OCGT,0.0
stylised-df-severe-nuc-7.5-v4,offwind-dc,0.0
stylised-df-severe-nuc-7.5-v4,solar,1.1108
stylised-df-severe-nuc-7.5-v4,offwind-ac,3.3351
stylised-df-severe-nuc-7.5-v4,solar-hsat,0.0
stylised-df-severe-nuc-7.5-v4,onwind,10.6557
stylised-df-severe-nuc-7.5-v4,offwind-float,0.0
stylised-df-severe-nuc-7.5-v4,generic-advanced-nuclear,4.0523
stylised-df-severe-nuc-7.5-v4,load_shed,0.0
