scenario,scope,dispatch_mode,demand_twh,nuclear_installed_capacity_gw,nuclear_generation_twh,nuclear_capacity_factor_pct,nuclear_min_output_gw,nuclear_max_output_gw,max_nuclear_ramp_gw_per_snapshot,onshore_generation_twh,offshore_generation_twh,solar_generation_twh,coal_generation_twh,lignite_generation_twh,ccgt_generation_twh,biomass_generation_twh,total_fossil_generation_twh,renewable_curtailment_twh,peak_load_shedding_gw,eens_gwh,eens_pct_demand,co2_kt,co2_mt,variable_opex_excl_voll_meur,load_shedding_penalty_meur,total_operational_cost_meur
stylised-df-severe-v4,core,unconstrained operational dispatch,21.1519,0.0,0.0,0.0,0.0,0.0,0.0,2.5954,0.7208,0.176,6.3612,5.7584,2.2962,2.5113,17.6507,0.0098,0.0,0.0,0.0,13200.44,13.2004,467.1,0.0,467.1
stylised-df-severe-v4,full_window,unconstrained operational dispatch,42.7419,0.0,0.0,0.0,0.0,0.0,0.0,10.6557,3.3351,1.1108,11.3023,8.391,2.4625,4.602,27.6223,0.5592,0.0,0.0,0.0,20636.73,20.6367,694.13,0.0,694.13
stylised-df-severe-nuc-1.5-v4,core,unconstrained operational dispatch,21.1519,1.5,0.44,87.3,0.0,1.35,1.35,2.5954,0.7208,0.176,6.3442,5.6721,2.019,2.5054,17.2107,0.0098,0.0,0.0,0.0,12970.23,12.9702,454.41,0.0,454.41
stylised-df-severe-nuc-1.5-v4,full_window,unconstrained operational dispatch,42.7419,1.5,0.8288,82.22,0.0,1.35,1.35,10.6557,3.3351,1.1108,11.2108,8.0953,2.1421,4.5644,26.7935,0.5592,0.0,0.0,0.0,20077.49,20.0775,675.22,0.0,675.22
stylised-df-severe-nuc-3.0-v4,core,unconstrained operational dispatch,21.1519,3.0,0.8737,86.68,0.0,2.7,2.7,2.5954,0.7208,0.176,6.3275,5.5597,1.7618,2.5022,16.7769,0.0098,0.0,0.0,0.0,12720.18,12.7202,442.31,0.0,442.31
stylised-df-severe-nuc-3.0-v4,full_window,unconstrained operational dispatch,42.7419,3.0,1.6498,81.83,0.0,2.7,2.7,10.6557,3.3351,1.1108,11.1159,7.7649,1.8548,4.5271,25.9725,0.5592,0.0,0.0,0.0,19491.06,19.4911,657.28,0.0,657.28
stylised-df-severe-nuc-4.5-v4,core,unconstrained operational dispatch,21.1519,4.5,1.3043,86.26,0.0,4.05,3.9664,2.5954,0.7208,0.176,6.3132,5.4302,1.5143,2.4991,16.3463,0.0098,0.0,0.0,0.0,12458.3,12.4583,430.53,0.0,430.53
stylised-df-severe-nuc-4.5-v4,full_window,unconstrained operational dispatch,42.7419,4.5,2.4629,81.44,0.0,4.05,4.05,10.6557,3.3351,1.1108,11.008,7.4218,1.5829,4.4927,25.1594,0.5592,0.0,0.0,0.0,18888.24,18.8882,639.94,0.0,639.94
stylised-df-severe-nuc-7.5-v4,core,unconstrained operational dispatch,21.1519,7.5,2.1548,85.51,0.0,6.75,6.5717,2.5954,0.7208,0.176,6.2891,5.1175,1.0748,2.4987,15.4958,0.0098,0.0,0.0,0.0,11897.04,11.897,408.34,0.0,408.34
stylised-df-severe-nuc-7.5-v4,full_window,unconstrained operational dispatch,42.7419,7.5,4.0523,80.4,0.0,6.75,6.75,10.6557,3.3351,1.1108,10.7533,6.7045,1.0999,4.4454,23.57,0.5592,0.0,0.0,0.0,17641.86,17.6419,607.37,0.0,607.37
