scenario,carrier,pypsa_capacity_mw,gamspy_capacity_mw,difference_mw,pypsa_avg_availability_pu,gamspy_avg_availability_pu,pypsa_max_available_power_mw,gamspy_max_available_power_mw,pypsa_max_producible_energy_twh,gamspy_max_producible_energy_twh,pypsa_generation_twh,gamspy_generation_twh,status
severe-no-nuclear,CCGT,30783.13,30783.13,-0.0,1.0,1.0,9221.92,30783.13,20.6863,20.6863,2.4625,3.3273,matched
severe-no-nuclear,biomass,8020.0,8020.0,0.0,1.0,1.0,1365.02,8020.0,5.3894,5.3894,4.602,4.75,matched
severe-no-nuclear,OCGT,6112.74,0.0,-6112.74,1.0,0.0,378.4,0.0,4.1078,0.0,0.0,0.0,omitted_from_gamspy
severe-no-nuclear,oil,5684.35,0.0,-5684.35,1.0,0.0,1421.32,0.0,3.8199,0.0,0.0,0.0,omitted_from_gamspy
severe-no-nuclear,waste,3127.66,0.0,-3127.66,1.0,0.0,747.33,0.0,2.1018,0.0,0.8645,0.0,omitted_from_gamspy
severe-no-nuclear,geothermal,26.9,0.0,-26.9,1.0,0.0,19.1,0.0,0.0181,0.0,0.0181,0.0,omitted_from_gamspy
severe-no-nuclear,coal,20351.94,0.0,-20351.94,1.0,0.0,2586.0,0.0,13.6765,0.0,11.3023,11.1329,mismatch
severe-no-nuclear,lignite,19457.03,0.0,-19457.03,1.0,0.0,9617.62,0.0,13.0751,0.0,8.391,8.3954,mismatch
severe-no-nuclear,load_shed,20000000.0,0.0,-20000000.0,1.0,0.0,1000000.0,0.0,13440.0,0.0,0.0,0.0,omitted_from_gamspy
severe-smr-4.5,CCGT,30783.13,30783.13,-0.0,1.0,1.0,9221.92,30783.13,20.6863,20.6863,1.5829,4.6736,matched
severe-smr-4.5,biomass,8020.0,0.0,-8020.0,1.0,0.0,1365.02,0.0,5.3894,0.0,4.4927,0.0,omitted_from_gamspy
severe-smr-4.5,OCGT,6112.74,0.0,-6112.74,1.0,0.0,378.4,0.0,4.1078,0.0,0.0,0.0,omitted_from_gamspy
severe-smr-4.5,oil,5684.35,0.0,-5684.35,1.0,0.0,1421.32,0.0,3.8199,0.0,0.0,0.0,omitted_from_gamspy
severe-smr-4.5,waste,3127.66,0.0,-3127.66,1.0,0.0,747.33,0.0,2.1018,0.0,0.6541,0.0,omitted_from_gamspy
severe-smr-4.5,geothermal,26.9,0.0,-26.9,1.0,0.0,19.1,0.0,0.0181,0.0,0.0181,0.0,omitted_from_gamspy
severe-smr-4.5,coal,20351.94,0.0,-20351.94,1.0,0.0,2586.0,0.0,13.6765,0.0,11.008,11.3556,mismatch
severe-smr-4.5,lignite,19457.03,0.0,-19457.03,1.0,0.0,9617.62,0.0,13.0751,0.0,7.4218,9.1377,mismatch
severe-smr-4.5,load_shed,20000000.0,0.0,-20000000.0,1.0,0.0,1000000.0,0.0,13440.0,0.0,0.0,0.0,omitted_from_gamspy
severe-decarbonised-no-nuclear,CCGT,30783.13,30783.13,-0.0,1.0,1.0,9221.92,30783.13,20.6863,20.6863,15.6736,16.1101,matched
severe-decarbonised-no-nuclear,biomass,8020.0,8020.0,0.0,1.0,1.0,1365.02,8020.0,5.3894,5.3894,4.7581,4.75,matched
severe-decarbonised-no-nuclear,OCGT,6112.74,6112.74,-0.0,1.0,1.0,378.4,6112.74,4.1078,4.1078,2.1575,2.4574,matched
severe-decarbonised-no-nuclear,oil,5684.35,5684.35,0.0,1.0,1.0,1421.32,5684.35,3.8199,3.8199,1.413,1.7351,matched
severe-decarbonised-no-nuclear,waste,3127.66,0.0,-3127.66,1.0,0.0,747.33,0.0,2.1018,0.0,1.78,0.0,omitted_from_gamspy
severe-decarbonised-no-nuclear,geothermal,26.9,0.0,-26.9,1.0,0.0,19.1,0.0,0.0181,0.0,0.0181,0.0,omitted_from_gamspy
severe-decarbonised-no-nuclear,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched
severe-decarbonised-no-nuclear,lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched
severe-decarbonised-no-nuclear,load_shed,20000000.0,0.0,-20000000.0,1.0,0.0,1000000.0,0.0,13440.0,0.0,1.84,0.0,omitted_from_gamspy
severe-decarbonised-smr-4.5,CCGT,30783.13,30783.13,-0.0,1.0,1.0,9221.92,30783.13,20.6863,20.6863,14.8819,15.5038,matched
severe-decarbonised-smr-4.5,biomass,8020.0,8020.0,0.0,1.0,1.0,1365.02,8020.0,5.3894,5.3894,4.613,4.6059,matched
severe-decarbonised-smr-4.5,OCGT,6112.74,6112.74,-0.0,1.0,1.0,378.4,6112.74,4.1078,4.1078,1.725,2.071,matched
severe-decarbonised-smr-4.5,oil,5684.35,0.0,-5684.35,1.0,0.0,1421.32,0.0,3.8199,0.0,1.0992,0.0,omitted_from_gamspy
severe-decarbonised-smr-4.5,waste,3127.66,0.0,-3127.66,1.0,0.0,747.33,0.0,2.1018,0.0,1.7515,0.0,omitted_from_gamspy
severe-decarbonised-smr-4.5,geothermal,26.9,0.0,-26.9,1.0,0.0,19.1,0.0,0.0181,0.0,0.0181,0.0,omitted_from_gamspy
severe-decarbonised-smr-4.5,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched
severe-decarbonised-smr-4.5,lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched
severe-decarbonised-smr-4.5,load_shed,20000000.0,0.0,-20000000.0,1.0,0.0,1000000.0,0.0,13440.0,0.0,1.0887,0.0,omitted_from_gamspy
