scenario,kpi,unit,pypsa,gamspy,absolute_difference,relative_difference_percent,threshold_percent,category,exceeds_threshold
severe-no-nuclear,renewable_generation,TWh,15.10156,15.136354,0.034794,0.23,5.0,generation,False
severe-no-nuclear,nuclear_generation,TWh,0.0,0.0,0.0,N/A,5.0,generation,False
severe-no-nuclear,coal_generation,TWh,11.302316,11.635825,0.333509,2.95,5.0,generation,False
severe-no-nuclear,lignite_generation,TWh,8.391036,9.659,1.267963,15.11,5.0,generation,True
severe-no-nuclear,ccgt_generation,TWh,7.06443,6.310718,-0.753712,-10.67,5.0,generation,True
severe-smr-4.5,renewable_generation,TWh,15.10156,15.136354,0.034794,0.23,5.0,generation,False
severe-smr-4.5,nuclear_generation,TWh,2.462877,2.438566,-0.024311,-0.99,5.0,generation,False
severe-smr-4.5,coal_generation,TWh,11.007994,11.355613,0.347618,3.16,5.0,generation,False
severe-smr-4.5,lignite_generation,TWh,7.421764,9.13772,1.715956,23.12,5.0,generation,True
severe-smr-4.5,ccgt_generation,TWh,6.075565,4.673644,-1.401921,-23.07,5.0,generation,True
severe-decarbonised-no-nuclear,renewable_generation,TWh,15.10156,15.136354,0.034794,0.23,5.0,generation,False
severe-decarbonised-no-nuclear,nuclear_generation,TWh,0.0,0.0,0.0,N/A,5.0,generation,False
severe-decarbonised-no-nuclear,coal_generation,TWh,0.0,0.0,0.0,N/A,5.0,generation,False
severe-decarbonised-no-nuclear,lignite_generation,TWh,0.0,0.0,0.0,N/A,5.0,generation,False
severe-decarbonised-no-nuclear,ccgt_generation,TWh,20.431767,20.860031,0.428264,2.10,5.0,generation,False
severe-decarbonised-smr-4.5,renewable_generation,TWh,15.10156,15.136354,0.034794,0.23,5.0,generation,False
severe-decarbonised-smr-4.5,nuclear_generation,TWh,2.462877,2.438566,-0.024311,-0.99,5.0,generation,False
severe-decarbonised-smr-4.5,coal_generation,TWh,0.0,0.0,0.0,N/A,5.0,generation,False
severe-decarbonised-smr-4.5,lignite_generation,TWh,0.0,0.0,0.0,N/A,5.0,generation,False
severe-decarbonised-smr-4.5,ccgt_generation,TWh,19.494873,20.109654,0.614782,3.15,5.0,generation,False
