scenario,block,included_carriers,pypsa_mw,gamspy_mw,difference_mw,status
severe-no-nuclear,vre,"onwind,offwind-ac,offwind-dc,offwind-float,solar,solar-hsat",133267.06,133267.06,0.0,matched
severe-no-nuclear,coal,coal,20351.94,20351.94,0.0,matched
severe-no-nuclear,lignite,lignite,19457.03,19457.03,0.0,matched
severe-no-nuclear,ccgt,CCGT,30783.13,30783.13,0.0,matched
severe-no-nuclear,peaker,"OCGT,oil",11797.09,11797.09,0.0,matched
severe-no-nuclear,other_firm,"biomass,waste,geothermal",11174.56,11174.56,0.0,matched
severe-no-nuclear,nuclear,nuclear-smr,0.0,0.0,0.0,matched
severe-smr-4.5,vre,"onwind,offwind-ac,offwind-dc,offwind-float,solar,solar-hsat",133267.06,133267.06,0.0,matched
severe-smr-4.5,coal,coal,20351.94,20351.94,0.0,matched
severe-smr-4.5,lignite,lignite,19457.03,19457.03,0.0,matched
severe-smr-4.5,ccgt,CCGT,30783.13,30783.13,0.0,matched
severe-smr-4.5,peaker,"OCGT,oil",11797.09,11797.09,0.0,matched
severe-smr-4.5,other_firm,"biomass,waste,geothermal",11174.56,11174.56,0.0,matched
severe-smr-4.5,nuclear,nuclear-smr,4500.0,4500.0,0.0,matched
severe-decarbonised-no-nuclear,vre,"onwind,offwind-ac,offwind-dc,offwind-float,solar,solar-hsat",133267.06,133267.06,0.0,matched
severe-decarbonised-no-nuclear,coal,coal,0.0,0.0,0.0,matched
severe-decarbonised-no-nuclear,lignite,lignite,0.0,0.0,0.0,matched
severe-decarbonised-no-nuclear,ccgt,CCGT,30783.13,30783.13,0.0,matched
severe-decarbonised-no-nuclear,peaker,"OCGT,oil",11797.09,11797.09,0.0,matched
severe-decarbonised-no-nuclear,other_firm,"biomass,waste,geothermal",11174.56,11174.56,0.0,matched
severe-decarbonised-no-nuclear,nuclear,nuclear-smr,0.0,0.0,0.0,matched
severe-decarbonised-smr-4.5,vre,"onwind,offwind-ac,offwind-dc,offwind-float,solar,solar-hsat",133267.06,133267.06,0.0,matched
severe-decarbonised-smr-4.5,coal,coal,0.0,0.0,0.0,matched
severe-decarbonised-smr-4.5,lignite,lignite,0.0,0.0,0.0,matched
severe-decarbonised-smr-4.5,ccgt,CCGT,30783.13,30783.13,0.0,matched
severe-decarbonised-smr-4.5,peaker,"OCGT,oil",11797.09,11797.09,0.0,matched
severe-decarbonised-smr-4.5,other_firm,"biomass,waste,geothermal",11174.56,11174.56,0.0,matched
severe-decarbonised-smr-4.5,nuclear,nuclear-smr,4500.0,4500.0,0.0,matched
