carrier,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
AC,183.93788544,183.93788536,183.93788524,183.93788589000002,183.93788555999998
Battery Storage,7.205e-05,7.322e-05,6.355e-05,0.00012005,9.113e-05
Combined-Cycle Gas,30.78312836,30.78312836,30.78312836,30.783128379999997,30.78312837
DC,2.241e-05,2.056e-05,1.7760000000000003e-05,3.359e-05,2.5620000000000002e-05
H2 Electrolysis,6.740000000000001e-06,6.1e-06,5.2500000000000006e-06,1e-05,7.62e-06
H2 Fuel Cell,3.81e-06,3.11e-06,2.68e-06,5.0800000000000005e-06,3.89e-06
Hydrogen Storage,0.008652620000000001,0.007890119999999999,0.00678428,0.01288357,0.00981568
LFR,0.0,0.0,0.0,0.0,1.75e-06
MSR,0.0,0.0,0.0,2.1e-06,0.0
Offshore Wind (AC),11.163743,11.163743,11.163743,11.163743010000001,11.163743
Offshore Wind (DC),1.1e-06,9e-07,7.799999999999999e-07,1.48e-06,1.13e-06
Offshore Wind (Floating),9.8e-07,8.2e-07,7.1e-07,1.34e-06,1.02e-06
Onshore Wind,73.33206597,73.33206595,73.33206594,73.33206598,73.33206596000001
Open-Cycle Gas,6.113122140000001,6.11327214,6.11315239,6.1133295500000004,6.1131819599999995
SMR,0.0,0.0,2.2399999999999997e-06,0.0,0.0
Solar,48.77125419,48.77125415,48.771254139999996,48.771254240000005,48.77125419
biomass,8.02000183,8.02000183,8.02000183,8.02000183,8.02000183
coal,20.351945,20.351945,20.351945,20.351945,20.351945
geothermal,0.0269,0.0269,0.0269,0.0269,0.0269
lignite,19.457035,19.457035,19.457035,19.457035,19.457035
oil,5.68434599,5.68434599,5.68434599,5.68434599,5.68434599
solar-hsat,1.09e-05,7.680000000000001e-06,6.61e-06,1.258e-05,9.56e-06
waste,3.127659,3.127659,3.127659,3.127659,3.127659
