,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
CCGT,67.43515469725392,194.72477992804176,194.73113210401786,194.69121871109374,194.70997942686597
OCGT,0.07702396954485367,0.08588162584191524,0.07529160542070105,0.1421351588908934,0.10988393093711091
biomass,0.0,0.0,0.0,0.0,0.0
coal,1884.7922117057262,1909.6326085567641,1909.6343310607601,1909.62401201144,1909.6291338234614
geothermal,1.083969762501413,1.0839412829560122,1.0839925293109587,1.0836062056007494,1.0836663223944003
lignite,1274.5711934047988,1575.0745258275635,1575.079337796803,1575.050115048897,1575.0645698363578
nuclear-lfr,0.0,0.0,0.0,0.0,0.0
nuclear-msr,0.0,0.0,0.0,0.0,0.0
nuclear-smr,0.0,0.0,0.0,0.0,0.0
offwind-ac,0.0,0.0,0.0,0.0,0.0
offwind-dc,0.0,0.0,0.0,0.0,0.0
offwind-float,0.0,0.0,0.0,0.0,0.0
oil,4.990339585840657e-05,4.7517426706100276e-05,4.093306402720007e-05,7.771560515680186e-05,5.923919460896264e-05
onwind,0.0,0.0,0.0,0.0,0.0
solar,0.0,0.0,0.0,0.0,0.0
solar-hsat,0.0,0.0,0.0,0.0,0.0
waste,54.6848236580503,99.47264773313398,99.47270414678977,99.46939832282587,99.47127821685315
