,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
Wind (all),8.86236659992,7.43696465052,7.4369576424599995,7.437011954300001,7.4369869374
Solar (all),0.7017829970299999,0.49734197827,0.49734282303,0.49733110529,0.49733500687
Combined-Cycle Gas,0.34058158938,0.98345848449,0.98349056618,0.9832889833899999,0.9833837344799999
Open-Cycle Gas,0.00038900995,0.00043374559,0.00038026062999999997,0.00071785434,0.00055496935
biomass,2.33998685172,2.33998775619,2.33998914007,2.33998137924,2.33998546629
coal,5.60783163257,5.6817393887400005,5.68174451372,5.6817138114,5.68172905035
geothermal,0.00903308135,0.00903284402,0.00903327108,0.00903005171,0.00903055269
lignite,3.1323941838400002,3.87091306421,3.87092489014,3.87085307213,3.8708885963
oil,1.941e-07,1.8482e-07,1.5920999999999998e-07,3.0228e-07,2.3041e-07
waste,0.21269865289,0.38690255828,0.3869027777,0.38688991957999996,0.38689723149
