carrier,base,dunkelflaute,dunkelflaute-smr,dunkelflaute-msr,dunkelflaute-lfr
Combined-Cycle Gas,0.34058158938,0.02365804944,1.1113774333200002,1.11173937946,1.11142170776
LFR,0.0,0.0,0.0,0.0,5.679300000000001e-07
MSR,0.0,0.0,0.0,1.4324e-07,0.0
Offshore Wind (AC),1.9059631608899998,1.4738735330300001,1.55443391618,1.55431504381,1.55449151177
Offshore Wind (DC),1.3378e-07,0.0033320320200000003,1.6765e-07,4.1489999999999996e-08,1.5117e-07
Offshore Wind (Floating),7.947e-08,0.00243750473,1.0943e-07,2.7060000000000002e-08,9.867e-08
Onshore Wind,6.95640322578,5.1903268996700005,5.72698034715,5.726998934259999,5.72690934155
Open-Cycle Gas,0.00038900995,8.98390447882,0.00085765405,0.00023160544,0.00077791572
SMR,0.0,0.0,1.17703e-06,0.0,0.0
Solar,0.7017829007399999,0.44722127136,0.49477486675,0.49479569452,0.49477769819
biomass,2.33998685172,1.66235423306,2.33997629854,2.3399931772500002,2.33997908593
coal,5.60783163257,3.8746910249,5.6817004397,5.68175878089,5.68170743624
geothermal,0.00903308135,0.0063800978699999995,0.0090308046,0.00903567245,0.00903155
lignite,3.1323941838400002,1.7388480257699999,3.89092189891,3.8910557362000002,3.89093972449
oil,1.941e-07,0.00731100877,3.7024e-07,9.164999999999999e-08,3.3388e-07
solar-hsat,9.629e-08,0.00225168635,1.0151e-07,2.514e-08,9.143999999999999e-08
waste,0.21269865289,0.09929111279,0.39659916601,0.39662956412,0.39660388861999996
