scenario,scope,demand_twh,available_vre_twh,renewable_curtailment_twh,ccgt_generation_twh,storage_charge_twh,storage_discharge_twh,soc_initial_gwh,soc_final_gwh,peak_load_shedding_gw,eens_gwh,eens_pct_demand,co2_kt,co2_mt,variable_opex_excl_voll_meur,load_shedding_penalty_meur,total_operational_cost_meur,gen_CCGT_twh,gen_biomass_twh,gen_lignite_twh,gen_oil_twh,gen_waste_twh,gen_geothermal_twh,gen_coal_twh,gen_OCGT_twh,gen_offwind-dc_twh,gen_solar_twh,gen_offwind-ac_twh,gen_solar-hsat_twh,gen_onwind_twh,gen_offwind-float_twh,gen_load_shed_twh,dispatch_mode,nuclear_installed_capacity_gw,nuclear_generation_twh,nuclear_capacity_factor_pct,nuclear_min_output_gw,nuclear_max_output_gw,max_nuclear_ramp_gw_per_snapshot,onshore_generation_twh,offshore_generation_twh,solar_generation_twh,coal_generation_twh,lignite_generation_twh,biomass_generation_twh,total_fossil_generation_twh,description,renewable_generation_twh,snapshots_with_load_shedding,equivalent_load_shedding_duration_hours,max_consecutive_load_shedding_hours,scenario_key,technology,co2_avoided_mt,variable_opex_meur,operational_savings_meur
Matched Base,core_event,21.1519,9.8311,0.3118,0.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8654.67,8.6547,269.48,0.0,269.48,0.3407,2.353,3.1312,0.0,0.2127,0.009,5.586,0.0,0.0,0.7046,1.9992,0.0,6.8155,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Matched Base,full_window,42.7419,21.9898,0.8612,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16090.96,16.091,496.52,0.0,496.52,0.507,4.4437,5.7638,0.0,0.3536,0.0181,10.5271,0.0,0.0,1.6393,4.6135,0.0,14.8758,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Severe,core_event,21.1519,3.502,0.0098,2.2962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.44,13.2004,467.1,0.0,467.1,2.2962,2.5113,5.7584,0.0,0.7236,0.009,6.3612,0.0,0.0,0.176,0.7208,0.0,2.5954,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Severe,full_window,42.7419,15.6608,0.5592,2.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20636.73,20.6367,694.13,0.0,694.13,2.4625,4.602,8.391,0.0,0.8645,0.0181,11.3023,0.0,0.0,1.1108,3.3351,0.0,10.6557,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
stylised-df-severe-v4,core,21.1519,,0.0098,2.2962,,,,,0.0,0.0,0.0,13200.44,13.2004,467.1,0.0,467.1,,,,,,,,,,,,,,,,unconstrained operational dispatch,0.0,0.0,0.0,0.0,0.0,0.0,2.5954,0.7208,0.176,6.3612,5.7584,2.5113,17.6507,,,,,,,,,,
stylised-df-severe-v4,full_window,42.7419,,0.5592,2.4625,,,,,0.0,0.0,0.0,20636.73,20.6367,694.13,0.0,694.13,,,,,,,,,,,,,,,,unconstrained operational dispatch,0.0,0.0,0.0,0.0,0.0,0.0,10.6557,3.3351,1.1108,11.3023,8.391,4.602,27.6223,,,,,,,,,,
stylised-df-severe-nuc-1.5-v4,core,21.1519,,0.0098,2.019,,,,,0.0,0.0,0.0,12970.23,12.9702,454.41,0.0,454.41,,,,,,,,,,,,,,,,unconstrained operational dispatch,1.5,0.44,87.3,0.0,1.35,1.35,2.5954,0.7208,0.176,6.3442,5.6721,2.5054,17.2107,,,,,,,,,,
stylised-df-severe-nuc-1.5-v4,full_window,42.7419,,0.5592,2.1421,,,,,0.0,0.0,0.0,20077.49,20.0775,675.22,0.0,675.22,,,,,,,,,,,,,,,,unconstrained operational dispatch,1.5,0.8288,82.22,0.0,1.35,1.35,10.6557,3.3351,1.1108,11.2108,8.0953,4.5644,26.7935,,,,,,,,,,
stylised-df-severe-nuc-3.0-v4,core,21.1519,,0.0098,1.7618,,,,,0.0,0.0,0.0,12720.18,12.7202,442.31,0.0,442.31,,,,,,,,,,,,,,,,unconstrained operational dispatch,3.0,0.8737,86.68,0.0,2.7,2.7,2.5954,0.7208,0.176,6.3275,5.5597,2.5022,16.7769,,,,,,,,,,
stylised-df-severe-nuc-3.0-v4,full_window,42.7419,,0.5592,1.8548,,,,,0.0,0.0,0.0,19491.06,19.4911,657.28,0.0,657.28,,,,,,,,,,,,,,,,unconstrained operational dispatch,3.0,1.6498,81.83,0.0,2.7,2.7,10.6557,3.3351,1.1108,11.1159,7.7649,4.5271,25.9725,,,,,,,,,,
